"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";-;1;-;1;-;-;-;-;-;-;-;-;2
"12 Acre";4;1;-;-;-;-;-;-;-;-;-;1;6
"13 Amazonas";31;18;6;2;-;-;-;-;-;-;-;4;61
"14 Roraima";1;-;1;-;-;-;-;-;-;-;-;-;2
"15 Pará";6;4;4;2;1;-;-;-;-;1;-;-;18
"16 Amapá";1;3;1;2;-;-;-;-;-;-;-;-;7
"17 Tocantins";2;1;3;2;2;2;-;-;2;-;-;-;14
"21 Maranhão";3;2;5;5;5;4;2;1;-;-;-;1;28
"22 Piauí";1;3;3;4;2;1;1;-;1;-;-;-;16
"23 Ceará";3;12;33;20;8;7;3;-;2;1;2;-;91
"24 Rio Grande do Norte";10;20;32;35;33;27;10;7;2;2;1;1;180
"25 Paraíba";3;5;15;8;4;8;4;1;-;-;-;-;48
"26 Pernambuco";9;16;33;20;17;10;8;4;1;1;-;-;119
"27 Alagoas";-;2;9;3;6;2;3;5;-;-;-;-;30
"28 Sergipe";3;1;5;7;8;4;6;1;1;-;-;2;38
"29 Bahia";5;15;18;6;13;12;6;4;-;2;-;-;81
"31 Minas Gerais";1;1;2;5;4;2;3;1;-;-;-;-;19
"32 Espírito Santo";11;25;31;32;42;22;4;2;-;-;1;-;170
"33 Rio de Janeiro";64;100;128;170;110;42;9;2;1;-;-;7;633
"35 São Paulo";7;18;36;49;18;1;2;-;1;1;1;-;134
"41 Paraná";11;16;30;22;3;-;-;-;-;-;1;-;83
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";2;3;1;3;2;-;1;-;-;-;-;-;12
"51 Mato Grosso";2;-;4;1;-;-;-;-;-;-;-;-;7
"52 Goiás";4;10;13;16;10;4;-;2;2;-;-;-;61
"53 Distrito Federal";1;-;-;1;-;-;-;-;-;-;-;-;2
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";185;277;413;416;288;148;62;30;13;8;6;16;1862
&
