"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Nov";"Dez";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-
"12 Acre";-;-;-;-;-;-;-;-;-;-
"13 Amazonas";-;-;-;-;-;-;-;-;-;-
"14 Roraima";-;-;-;-;-;-;-;-;-;-
"15 Pará";-;-;2;-;-;-;-;-;-;2
"16 Amapá";-;-;-;-;-;-;-;-;-;-
"17 Tocantins";-;1;-;-;-;-;-;-;-;1
"21 Maranhão";-;1;-;-;-;-;-;-;1;2
"22 Piauí";-;-;-;-;-;-;-;-;-;-
"23 Ceará";-;-;-;-;-;-;-;-;-;-
"24 Rio Grande do Norte";-;3;5;2;1;-;1;-;-;12
"25 Paraíba";1;-;1;3;-;-;-;-;-;5
"26 Pernambuco";2;1;-;-;-;2;-;-;-;5
"27 Alagoas";-;-;-;-;-;-;-;-;-;-
"28 Sergipe";-;-;-;-;-;-;-;-;-;-
"29 Bahia";-;-;-;-;-;-;-;-;-;-
"31 Minas Gerais";2;-;-;-;1;1;-;-;-;4
"32 Espírito Santo";1;-;3;1;-;-;-;-;-;5
"33 Rio de Janeiro";5;7;3;-;1;-;-;-;1;17
"35 São Paulo";1;1;2;1;1;-;-;-;-;6
"41 Paraná";-;-;-;-;-;-;-;-;-;-
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-
"51 Mato Grosso";2;-;-;-;-;-;-;1;-;3
"52 Goiás";6;3;3;2;-;-;-;-;1;15
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-
"Total";20;17;19;9;4;3;1;1;3;77
&
