report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,213,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,102,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,259,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,4046,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,8094,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,197,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,3214,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,6279,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,6243,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,113766,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,1959,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,1545,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,2093,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,482,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,388,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,8608,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,17307,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,796,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,4009,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,1057,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,196,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,73,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,65,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,91,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,3039,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,222,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,115,cases
