report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,453,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,227,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,425,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,26,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,955,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,178,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,597,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,10866,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,1430,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,12987,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,18464,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,11973,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,41008,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,8578,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,6850,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,45354,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,1117,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,249,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,12047,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,2946,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,578,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,322,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,126,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,188,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,447,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,227,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,408,cases
