report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,deathsevere_value,deathalarm_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,2341,1,1,1,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,2710,0,1,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,5646,2,7,1,1,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,424,0,0,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,3644,0,1,0,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,197,0,0,0,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,5345,0,11,0,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,1038,2,13,2,0,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,1495,4,4,0,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,8800,3,25,3,0,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,3413,0,12,0,0,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,2172,2,4,2,0,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,2473,1,0,1,0,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,2507,2,8,0,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,642,0,3,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,6932,8,29,3,0,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,45594,13,174,12,0,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,10592,5,108,2,0,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,6202,5,17,5,2,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,116999,47,975,11,0,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,25858,6,67,2,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,242,0,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,454,0,0,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,4293,3,13,3,0,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,5429,4,8,4,0,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,50525,28,294,10,0,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,6263,9,12,4,0,cases
