report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,7473,4,5,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,3047,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,5916,1,2,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,123,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,7637,2,24,1,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1265,0,8,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7737,0,9,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,17661,3,20,6,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,3179,2,3,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,30691,7,41,3,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,46371,4,40,5,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,29415,3,28,3,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,57953,5,20,6,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,10121,2,10,1,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,3855,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,56971,3,4,2,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,461399,140,1329,89,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,37520,19,258,3,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,61106,11,73,7,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,196245,60,703,51,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,75184,71,484,53,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,5332,2,57,1,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,4104,7,25,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,28523,15,86,14,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,17696,5,8,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,76445,47,1496,12,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,14158,15,251,7,cases
