"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","probable_value","severe_value","death_value","unit"
,"Brazil-Rondonia","state","dengue_reported","NA","NA","NA",8314,28,4,"cases"
,"Brazil-Acre","state","dengue_reported","NA","NA","NA",2247,2,0,"cases"
,"Brazil-Amazonas","state","dengue_reported","NA","NA","NA",14477,88,9,"cases"
,"Brazil-Roraima","state","dengue_reported","NA","NA","NA",327,0,0,"cases"
,"Brazil-Para","state","dengue_reported","NA","NA","NA",7966,33,10,"cases"
,"Brazil-Amapa","state","dengue_reported","NA","NA","NA",1448,6,1,"cases"
,"Brazil-Tocantins","state","dengue_reported","NA","NA","NA",7025,19,3,"cases"
,"Brazil-Maranhao","state","dengue_reported","NA","NA","NA",2508,29,11,"cases"
,"Brazil-Piaui","state","dengue_reported","NA","NA","NA",2977,12,1,"cases"
,"Brazil-Ceara","state","dengue_reported","NA","NA","NA",14839,65,26,"cases"
,"Brazil-Rio_Grande_do_Norte","state","dengue_reported","NA","NA","NA",9558,57,8,"cases"
,"Brazil-Paraiba","state","dengue_reported","NA","NA","NA",6743,50,8,"cases"
,"Brazil-Pernambuco","state","dengue_reported","NA","NA","NA",4821,28,11,"cases"
,"Brazil-Alagoas","state","dengue_reported","NA","NA","NA",4372,12,0,"cases"
,"Brazil-Sergipe","state","dengue_reported","NA","NA","NA",326,1,0,"cases"
,"Brazil-Bahia","state","dengue_reported","NA","NA","NA",54066,97,12,"cases"
,"Brazil-Minas_Gerais","state","dengue_reported","NA","NA","NA",404026,359,94,"cases"
,"Brazil-Espirito_Santo","state","dengue_reported","NA","NA","NA",57281,1229,22,"cases"
,"Brazil-Rio_de_Janeiro","state","dengue_reported","NA","NA","NA",201994,1179,52,"cases"
,"Brazil-Sao_Paulo","state","dengue_reported","NA","NA","NA",209071,402,68,"cases"
,"Brazil-Parana","state","dengue_reported","NA","NA","NA",64177,224,26,"cases"
,"Brazil-Santa_Catarina","state","dengue_reported","NA","NA","NA",331,1,0,"cases"
,"Brazil-Rio_Grande_do_Sul","state","dengue_reported","NA","NA","NA",415,1,0,"cases"
,"Brazil-Mato_Grosso_do_Sul","state","dengue_reported","NA","NA","NA",76423,743,33,"cases"
,"Brazil-Mato_Grosso","state","dengue_reported","NA","NA","NA",31199,92,23,"cases"
,"Brazil-Goias","state","dengue_reported","NA","NA","NA",122938,1083,61,"cases"
,"Brazil-Distrito_Federal","state","dengue_reported","NA","NA","NA",8835,12,4,"cases"
