report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,7679,6,17,3,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,2148,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,7454,4,9,1,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,209,0,3,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,10635,2,41,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1790,2,19,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7631,0,15,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,23612,13,34,11,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,5169,5,7,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,49268,47,193,34,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,56487,13,48,23,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,35278,7,52,9,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,59486,7,63,24,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,17960,8,14,8,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,3366,1,1,1,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,65882,5,15,7,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,522510,271,1913,261,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,41367,47,383,20,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,84997,27,416,17,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,198110,116,1179,113,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,61870,119,528,63,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,5030,2,62,2,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,3138,7,34,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,45281,16,284,17,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,19845,7,17,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,127995,145,3325,56,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,17654,41,455,23,cases
