Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados
Brasil,7623,100,3257,1434,2932
Alagoas,294,3.9,69,70,155
Bahia,1103,14.5,646,247,210
Ceará,486,6.4,210,102,174
Maranhão,257,3.4,77,126,54
Paraíba,881,11.6,313,129,439
Pernambuco,1968,25.8,541,359,1068
Piauí,167,2.2,15,82,70
Rio Grande do Norte,425,5.6,264,108,53
Sergipe,231,3,142,50,39
Espírito Santo,142,1.9,86,11,45
Minas Gerais,112,1.5,54,3,55
Rio de Janeiro,446,5.9,271,61,114
São Paulo,306,4,186,8,112
Acre,38,0.5,21,0,17
Amapá,10,0.1,2,7,1
Amazonas,20,0.3,11,4,5
Pará,30,0.4,29,1,0
Rondônia,15,0.2,4,4,7
Roraima,24,0.3,9,8,7
Tocantins,137,1.8,96,8,33
Distrito Federal,41,0.5,2,5,34
Goiás,134,1.8,68,14,52
Mato Grosso,217,2.8,109,15,93
Mato Grosso do Sul,18,0.2,2,2,14
Paraná,37,0.5,6,4,27
Santa Catarina,6,0.1,1,1,4
Rio Grande do Sul,78,1,23,5,50
