Regioes E Unidades Federadas,Total acumulado de casos notificados de 2015 a 2016,,"Casos notificados de Microcefalia e/ou Alteracoes do SNC, sugestivos de infeccao congenita, em fetos, abortamentos, natimortos ou recem-nascidos",,,
,N,%,Permanecem em investigacao,Investigados e confirmados,Investigados e descartados,
Brasil,9015,100,2957,1835,4223,1
Alagoas,336,3.7,58,82,196,
Bahia,1243,13.8,642,292,309,
Ceará,561,6.2,158,136,267,
Maranhão,300,3.3,95,137,68,
Paraíba,900,10,211,160,529,
Pernambuco,2102,23.3,387,378,1337,
Piauí,183,2,13,92,78,
Rio Grande do Norte,454,5,134,135,185,
Sergipe,255,2.8,74,120,61,
Espírito Santo,193,2.1,103,22,68,
Minas Gerais,148,1.6,80,5,63,
Rio de Janeiro,655,7.3,315,117,223,
São Paulo,594,6.6,297,12b,285,
Acre,46,0.5,14,2,30,
Amapá,13,0.1,0,9,4,
Amazonas,26,0.3,13,8,5,
Pará,75,0.8,74,1,0,
Rondônia,23,0.3,5,7,11,
Roraima,27,0.3,4,10,13,
Tocantins,181,2,74,17,90,
Distrito Federal,52,0.6,7,6,39,
Goiás,162,1.8,42,17,103,
Mato Grosso,285,3.2,109,45,131,
Mato Grosso do Sul,37,0.4,10,11,16,
Paraná,43,0.5,0,4,39,
Santa Catarina,12,0.1,1,3,8,
Rio Grande do Sul,109,1.2,37,7,65,
