report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,179,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,43,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,418,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,228,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,571,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,11,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,676,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,516,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,159,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1463,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,417,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,115,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,55,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,202,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,17,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,2084,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,722,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,346,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,2210,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,376,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,59,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,17,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,17,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,65,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,2154,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3746,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,61,cases
