report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,813,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,74,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4102,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,73,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4008,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,162,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2016,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4389,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,213,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,3494,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3303,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3465,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,399,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6047,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,203,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,48813,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13668,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2172,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,69262,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,4859,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,596,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,62,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,146,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1660,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21335,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,9922,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,322,cases
