report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,104,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,23,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,390,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,193,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,615,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,554,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,473,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,91,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1390,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,329,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,93,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,20,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,151,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,13,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,1969,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,653,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,306,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,2241,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,194,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,39,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,11,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,45,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,1979,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3697,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,45,cases
