report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,116,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,26,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,403,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,200,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,638,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,10,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,581,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,515,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,91,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,1416,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,432,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,108,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,25,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,197,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,16,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,2146,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,688,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,328,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,2378,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,245,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,49,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,13,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,12,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,56,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,2063,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,3812,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,52,cases
