"report_date","location","location_type","value_lab","value_clinical","value_suspicious","unit"
NA,"Colombia-Valle","province",890,25092,183,"cases"
NA,"Colombia-Norte_Santander","province",1521,8801,100,"cases"
NA,"Colombia-Santander","province",443,9377,374,"cases"
NA,"Colombia-Tolima","province",822,6059,198,"cases"
NA,"Colombia-Huila","province",915,5874,111,"cases"
NA,"Colombia-Cundinamarca","province",317,4631,322,"cases"
NA,"Colombia-Barranquilla","province",238,4424,0,"cases"
NA,"Colombia-Meta","province",580,3621,77,"cases"
NA,"Colombia-Casanare","province",280,3611,23,"cases"
NA,"Colombia-Cordoba","province",253,2440,527,"cases"
NA,"Colombia-Antioquia","province",335,1857,311,"cases"
NA,"Colombia-Atlantico","province",121,1880,107,"cases"
NA,"Colombia-Santa_Marta","province",155,1785,0,"cases"
NA,"Colombia-Arauca","province",191,1625,34,"cases"
NA,"Colombia-Sucre","province",107,1305,215,"cases"
NA,"Colombia-Cesar","province",245,1241,129,"cases"
NA,"Colombia-Magdalena","province",140,993,178,"cases"
NA,"Colombia-Risaralda","province",130,1165,3,"cases"
NA,"Colombia-San_Andres","province",66,1059,17,"cases"
NA,"Colombia-Caqueta","province",234,871,25,"cases"
NA,"Colombia-Cartagena","province",103,930,0,"cases"
NA,"Colombia-Bolivar","province",139,593,155,"cases"
NA,"Colombia-Guajira","province",95,518,108,"cases"
NA,"Colombia-Putumayo","province",110,411,7,"cases"
NA,"Colombia-Buenaventura","province",5,457,0,"cases"
NA,"Colombia-Quindio","province",24,357,13,"cases"
NA,"Colombia-Boyaca","province",88,240,36,"cases"
NA,"Colombia-Amazonas","province",28,256,46,"cases"
NA,"Colombia-Cauca","province",34,171,120,"cases"
NA,"Colombia-Caldas","province",74,200,30,"cases"
NA,"Colombia-Guaviare","province",15,176,20,"cases"
NA,"Colombia-Desconocido","province",58,0,89,"cases"
NA,"Colombia-Narino","province",20,27,33,"cases"
NA,"Colombia-Vichada","province",5,32,39,"cases"
NA,"Colombia-Choco","province",5,11,41,"cases"
NA,"Colombia-Vaupes","province",0,0,14,"cases"
NA,"Colombia-Guainia","province",3,11,0,"cases"
NA,"Colombia-Exterior","province",37,0,112,"cases"
