"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Brazil","Rondonia","state",2017-12-31,2018-06-23,NA,88,NA,"total=88","EpiBulletin",""
"Chik","Brazil","Acre","state",2017-12-31,2018-06-23,NA,74,NA,"total=74","EpiBulletin",""
"Chik","Brazil","Amazonas","state",2017-12-31,2018-06-23,NA,37,NA,"total=37","EpiBulletin",""
"Chik","Brazil","Roraima","state",2017-12-31,2018-06-23,NA,48,NA,"total=48","EpiBulletin",""
"Chik","Brazil","Para","state",2017-12-31,2018-06-23,NA,3488,NA,"total=3488","EpiBulletin",""
"Chik","Brazil","Amapa","state",2017-12-31,2018-06-23,NA,100,NA,"total=100","EpiBulletin",""
"Chik","Brazil","Tocantins","state",2017-12-31,2018-06-23,NA,252,NA,"total=252","EpiBulletin",""
"Chik","Brazil","Maranhao","state",2017-12-31,2018-06-23,NA,460,NA,"total=460","EpiBulletin",""
"Chik","Brazil","Piaui","state",2017-12-31,2018-06-23,NA,285,NA,"total=285","EpiBulletin",""
"Chik","Brazil","Ceara","state",2017-12-31,2018-06-23,NA,1524,NA,"total=1524","EpiBulletin",""
"Chik","Brazil","Rio_Grande_do_Norte","state",2017-12-31,2018-06-23,NA,952,NA,"total=952","EpiBulletin",""
"Chik","Brazil","Paraiba","state",2017-12-31,2018-06-23,NA,545,NA,"total=545","EpiBulletin",""
"Chik","Brazil","Pernambuco","state",2017-12-31,2018-06-23,NA,862,NA,"total=862","EpiBulletin",""
"Chik","Brazil","Alagoas","state",2017-12-31,2018-06-23,NA,71,NA,"total=71","EpiBulletin",""
"Chik","Brazil","Sergipe","state",2017-12-31,2018-06-23,NA,27,NA,"total=27","EpiBulletin",""
"Chik","Brazil","Bahia","state",2017-12-31,2018-06-23,NA,2150,NA,"total=2150","EpiBulletin",""
"Chik","Brazil","Minas_Gerais","state",2017-12-31,2018-06-23,NA,9168,NA,"total=9168","EpiBulletin",""
"Chik","Brazil","Espirito_Santo","state",2017-12-31,2018-06-23,NA,324,NA,"total=324","EpiBulletin",""
"Chik","Brazil","Rio_de_Janeiro","state",2017-12-31,2018-06-23,NA,18721,NA,"total=18721","EpiBulletin",""
"Chik","Brazil","Sao_Paulo","state",2017-12-31,2018-06-23,NA,509,NA,"total=509","EpiBulletin",""
"Chik","Brazil","Parana","state",2017-12-31,2018-06-23,NA,127,NA,"total=127","EpiBulletin",""
"Chik","Brazil","Santa_Catarina","state",2017-12-31,2018-06-23,NA,51,NA,"total=51","EpiBulletin",""
"Chik","Brazil","Rio_Grande_do_Sul","state",2017-12-31,2018-06-23,NA,57,NA,"total=57","EpiBulletin",""
"Chik","Brazil","Mato_Grosso_do_Sul","state",2017-12-31,2018-06-23,NA,194,NA,"total=194","EpiBulletin",""
"Chik","Brazil","Mato_Grosso","state",2017-12-31,2018-06-23,NA,12719,NA,"total=12719","EpiBulletin",""
"Chik","Brazil","Goias","state",2017-12-31,2018-06-23,NA,216,NA,"total=216","EpiBulletin",""
"Chik","Brazil","Distrito_Federal","state",2017-12-31,2018-06-23,NA,40,NA,"total=40","EpiBulletin",""
