"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Brazil","Rondonia","state",2016-01-03,2016-12-17,NA,797,NA,"total=797","EpiBulletinPrevYear",""
"Chik","Brazil","Acre","state",2016-01-03,2016-12-17,NA,367,NA,"total=367","EpiBulletinPrevYear",""
"Chik","Brazil","Amazonas","state",2016-01-03,2016-12-17,NA,863,NA,"total=863","EpiBulletinPrevYear",""
"Chik","Brazil","Roraima","state",2016-01-03,2016-12-17,NA,232,NA,"total=232","EpiBulletinPrevYear",""
"Chik","Brazil","Para","state",2016-01-03,2016-12-17,NA,4154,NA,"total=4154","EpiBulletinPrevYear",""
"Chik","Brazil","Amapa","state",2016-01-03,2016-12-17,NA,965,NA,"total=965","EpiBulletinPrevYear",""
"Chik","Brazil","Tocantins","state",2016-01-03,2016-12-17,NA,1374,NA,"total=1374","EpiBulletinPrevYear",""
"Chik","Brazil","Maranhao","state",2016-01-03,2016-12-17,NA,13830,NA,"total=13830","EpiBulletinPrevYear",""
"Chik","Brazil","Piaui","state",2016-01-03,2016-12-17,NA,2774,NA,"total=2774","EpiBulletinPrevYear",""
"Chik","Brazil","Ceara","state",2016-01-03,2016-12-17,NA,48174,NA,"total=48174","EpiBulletinPrevYear",""
"Chik","Brazil","Rio_Grande_do_Norte","state",2016-01-03,2016-12-17,NA,24910,NA,"total=24910","EpiBulletinPrevYear",""
"Chik","Brazil","Paraiba","state",2016-01-03,2016-12-17,NA,20271,NA,"total=20271","EpiBulletinPrevYear",""
"Chik","Brazil","Pernambuco","state",2016-01-03,2016-12-17,NA,50006,NA,"total=50006","EpiBulletinPrevYear",""
"Chik","Brazil","Alagoas","state",2016-01-03,2016-12-17,NA,18427,NA,"total=18427","EpiBulletinPrevYear",""
"Chik","Brazil","Sergipe","state",2016-01-03,2016-12-17,NA,9242,NA,"total=9242","EpiBulletinPrevYear",""
"Chik","Brazil","Bahia","state",2016-01-03,2016-12-17,NA,51564,NA,"total=51564","EpiBulletinPrevYear",""
"Chik","Brazil","Minas_Gerais","state",2016-01-03,2016-12-17,NA,1421,NA,"total=1421","EpiBulletinPrevYear",""
"Chik","Brazil","Espirito_Santo","state",2016-01-03,2016-12-17,NA,453,NA,"total=453","EpiBulletinPrevYear",""
"Chik","Brazil","Rio_de_Janeiro","state",2016-01-03,2016-12-17,NA,18456,NA,"total=18456","EpiBulletinPrevYear",""
"Chik","Brazil","Sao_Paulo","state",2016-01-03,2016-12-17,NA,4710,NA,"total=4710","EpiBulletinPrevYear",""
"Chik","Brazil","Parana","state",2016-01-03,2016-12-17,NA,1033,NA,"total=1033","EpiBulletinPrevYear",""
"Chik","Brazil","Santa_Catarina","state",2016-01-03,2016-12-17,NA,566,NA,"total=566","EpiBulletinPrevYear",""
"Chik","Brazil","Rio_Grande_do_Sul","state",2016-01-03,2016-12-17,NA,329,NA,"total=329","EpiBulletinPrevYear",""
"Chik","Brazil","Mato_Grosso_do_Sul","state",2016-01-03,2016-12-17,NA,280,NA,"total=280","EpiBulletinPrevYear",""
"Chik","Brazil","Mato_Grosso","state",2016-01-03,2016-12-17,NA,561,NA,"total=561","EpiBulletinPrevYear",""
"Chik","Brazil","Goias","state",2016-01-03,2016-12-17,NA,479,NA,"total=479","EpiBulletinPrevYear",""
"Chik","Brazil","Distrito_Federal","state",2016-01-03,2016-12-17,NA,583,NA,"total=583","EpiBulletinPrevYear",""
