"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Colombia","Amazonas","province",2015-01-04,2015-08-01,NA,13,NA,"clinical=6;lab=3;suspicious=4","EpiBulletin",""
"Chik","Colombia","Caqueta","province",2015-01-04,2015-08-01,NA,6159,NA,"clinical=6014;lab=26;suspicious=119","EpiBulletin",""
"Chik","Colombia","Guainia","province",2015-01-04,2015-08-01,NA,73,NA,"clinical=57;lab=15;suspicious=1","EpiBulletin",""
"Chik","Colombia","Guaviare","province",2015-01-04,2015-08-01,NA,1440,NA,"clinical=1414;lab=26;suspicious=0","EpiBulletin",""
"Chik","Colombia","Vaupes","province",2015-01-04,2015-08-01,NA,3,NA,"clinical=0;lab=0;suspicious=3","EpiBulletin",""
"Chik","Colombia","Putumayo","province",2015-01-04,2015-08-01,NA,457,NA,"clinical=452;lab=5;suspicious=0","EpiBulletin",""
"Chik","Colombia","Antioquia","province",2015-01-04,2015-08-01,NA,13209,NA,"clinical=13049;lab=33;suspicious=127","EpiBulletin",""
"Chik","Colombia","Bogota","province",2015-01-04,2015-08-01,NA,215,NA,"clinical=0;lab=1;suspicious=214","EpiBulletin",""
"Chik","Colombia","Caldas","province",2015-01-04,2015-08-01,NA,2670,NA,"clinical=2614;lab=17;suspicious=39","EpiBulletin",""
"Chik","Colombia","Cundinamarca","province",2015-01-04,2015-08-01,NA,15922,NA,"clinical=15742;lab=141;suspicious=39","EpiBulletin",""
"Chik","Colombia","Huila","province",2015-01-04,2015-08-01,NA,27426,NA,"clinical=27318;lab=108;suspicious=0","EpiBulletin",""
"Chik","Colombia","Quindio","province",2015-01-04,2015-08-01,NA,3785,NA,"clinical=3785;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Risaralda","province",2015-01-04,2015-08-01,NA,2506,NA,"clinical=2496;lab=10;suspicious=0","EpiBulletin",""
"Chik","Colombia","Tolima","province",2015-01-04,2015-08-01,NA,37335,NA,"clinical=37180;lab=144;suspicious=11","EpiBulletin",""
"Chik","Colombia","Boyaca","province",2015-01-04,2015-08-01,NA,644,NA,"clinical=563;lab=43;suspicious=38","EpiBulletin",""
"Chik","Colombia","Norte_Santander","province",2015-01-04,2015-08-01,NA,6004,NA,"clinical=5943;lab=40;suspicious=21","EpiBulletin",""
"Chik","Colombia","Santander","province",2015-01-04,2015-08-01,NA,8578,NA,"clinical=8495;lab=10;suspicious=73","EpiBulletin",""
"Chik","Colombia","Arauca","province",2015-01-04,2015-08-01,NA,5147,NA,"clinical=5142;lab=5;suspicious=0","EpiBulletin",""
"Chik","Colombia","Casanare","province",2015-01-04,2015-08-01,NA,14889,NA,"clinical=14859;lab=29;suspicious=1","EpiBulletin",""
"Chik","Colombia","Meta","province",2015-01-04,2015-08-01,NA,18180,NA,"clinical=18022;lab=58;suspicious=100","EpiBulletin",""
"Chik","Colombia","Vichada","province",2015-01-04,2015-08-01,NA,190,NA,"clinical=166;lab=24;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cauca","province",2015-01-04,2015-08-01,NA,3520,NA,"clinical=3377;lab=27;suspicious=116","EpiBulletin",""
"Chik","Colombia","Choco","province",2015-01-04,2015-08-01,NA,853,NA,"clinical=706;lab=13;suspicious=134","EpiBulletin",""
"Chik","Colombia","Narino","province",2015-01-04,2015-08-01,NA,1172,NA,"clinical=1107;lab=30;suspicious=35","EpiBulletin",""
"Chik","Colombia","Valle","province",2015-01-04,2015-08-01,NA,108383,NA,"clinical=108313;lab=70;suspicious=0","EpiBulletin",""
"Chik","Colombia","Atlantico","province",2015-01-04,2015-08-01,NA,1683,NA,"clinical=1683;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Barranquilla","province",2015-01-04,2015-08-01,NA,4829,NA,"clinical=4829;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Bolivar","province",2015-01-04,2015-08-01,NA,516,NA,"clinical=515;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cartagena","province",2015-01-04,2015-08-01,NA,388,NA,"clinical=388;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cesar","province",2015-01-04,2015-08-01,NA,3630,NA,"clinical=3618;lab=12;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cordoba","province",2015-01-04,2015-08-01,NA,12413,NA,"clinical=12408;lab=5;suspicious=0","EpiBulletin",""
"Chik","Colombia","Guajira","province",2015-01-04,2015-08-01,NA,4469,NA,"clinical=4461;lab=8;suspicious=0","EpiBulletin",""
"Chik","Colombia","Magdalena","province",2015-01-04,2015-08-01,NA,2040,NA,"clinical=2039;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","San_Andres","province",2015-01-04,2015-08-01,NA,679,NA,"clinical=675;lab=1;suspicious=3","EpiBulletin",""
"Chik","Colombia","Santa_Marta","province",2015-01-04,2015-08-01,NA,1577,NA,"clinical=1573;lab=4;suspicious=0","EpiBulletin",""
"Chik","Colombia","Sucre","province",2015-01-04,2015-08-01,NA,6643,NA,"clinical=6638;lab=5;suspicious=0","EpiBulletin",""
