"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Colombia","Amazonas","province",2015-01-04,2015-09-19,NA,19,NA,"clinical=9;lab=5;suspicious=5","EpiBulletin",""
"Chik","Colombia","Caqueta","province",2015-01-04,2015-09-19,NA,6538,NA,"clinical=6426;lab=32;suspicious=80","EpiBulletin",""
"Chik","Colombia","Guainia","province",2015-01-04,2015-09-19,NA,76,NA,"clinical=57;lab=18;suspicious=1","EpiBulletin",""
"Chik","Colombia","Guaviare","province",2015-01-04,2015-09-19,NA,1697,NA,"clinical=1669;lab=28;suspicious=0","EpiBulletin",""
"Chik","Colombia","Vaupes","province",2015-01-04,2015-09-19,NA,5,NA,"clinical=2;lab=2;suspicious=1","EpiBulletin",""
"Chik","Colombia","Putumayo","province",2015-01-04,2015-09-19,NA,522,NA,"clinical=515;lab=7;suspicious=0","EpiBulletin",""
"Chik","Colombia","Antioquia","province",2015-01-04,2015-09-19,NA,14141,NA,"clinical=13974;lab=34;suspicious=133","EpiBulletin",""
"Chik","Colombia","Bogota","province",2015-01-04,2015-09-19,NA,220,NA,"clinical=0;lab=1;suspicious=219","EpiBulletin",""
"Chik","Colombia","Caldas","province",2015-01-04,2015-09-19,NA,2900,NA,"clinical=2822;lab=23;suspicious=55","EpiBulletin",""
"Chik","Colombia","Cundinamarca","province",2015-01-04,2015-09-19,NA,16651,NA,"clinical=16414;lab=196;suspicious=41","EpiBulletin",""
"Chik","Colombia","Huila","province",2015-01-04,2015-09-19,NA,28132,NA,"clinical=27975;lab=157;suspicious=0","EpiBulletin",""
"Chik","Colombia","Quindio","province",2015-01-04,2015-09-19,NA,5084,NA,"clinical=5084;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Risaralda","province",2015-01-04,2015-09-19,NA,3280,NA,"clinical=3256;lab=24;suspicious=0","EpiBulletin",""
"Chik","Colombia","Tolima","province",2015-01-04,2015-09-19,NA,39116,NA,"clinical=38889;lab=217;suspicious=10","EpiBulletin",""
"Chik","Colombia","Boyaca","province",2015-01-04,2015-09-19,NA,758,NA,"clinical=669;lab=55;suspicious=34","EpiBulletin",""
"Chik","Colombia","Norte_Santander","province",2015-01-04,2015-09-19,NA,6089,NA,"clinical=6024;lab=50;suspicious=15","EpiBulletin",""
"Chik","Colombia","Santander","province",2015-01-04,2015-09-19,NA,10127,NA,"clinical=10017;lab=18;suspicious=92","EpiBulletin",""
"Chik","Colombia","Arauca","province",2015-01-04,2015-09-19,NA,5432,NA,"clinical=5413;lab=19;suspicious=0","EpiBulletin",""
"Chik","Colombia","Casanare","province",2015-01-04,2015-09-19,NA,15514,NA,"clinical=15443;lab=71;suspicious=0","EpiBulletin",""
"Chik","Colombia","Meta","province",2015-01-04,2015-09-19,NA,19181,NA,"clinical=19005;lab=72;suspicious=104","EpiBulletin",""
"Chik","Colombia","Vichada","province",2015-01-04,2015-09-19,NA,260,NA,"clinical=236;lab=24;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cauca","province",2015-01-04,2015-09-19,NA,3720,NA,"clinical=3629;lab=31;suspicious=60","EpiBulletin",""
"Chik","Colombia","Choco","province",2015-01-04,2015-09-19,NA,978,NA,"clinical=891;lab=19;suspicious=68","EpiBulletin",""
"Chik","Colombia","Narino","province",2015-01-04,2015-09-19,NA,1483,NA,"clinical=1409;lab=36;suspicious=38","EpiBulletin",""
"Chik","Colombia","Valle","province",2015-01-04,2015-09-19,NA,113942,NA,"clinical=113163;lab=779;suspicious=0","EpiBulletin",""
"Chik","Colombia","Atlantico","province",2015-01-04,2015-09-19,NA,1727,NA,"clinical=1727;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Barranquilla","province",2015-01-04,2015-09-19,NA,5193,NA,"clinical=5193;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Bolivar","province",2015-01-04,2015-09-19,NA,530,NA,"clinical=529;lab=1;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cartagena","province",2015-01-04,2015-09-19,NA,427,NA,"clinical=427;lab=0;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cesar","province",2015-01-04,2015-09-19,NA,3677,NA,"clinical=3664;lab=13;suspicious=0","EpiBulletin",""
"Chik","Colombia","Cordoba","province",2015-01-04,2015-09-19,NA,12511,NA,"clinical=12505;lab=6;suspicious=0","EpiBulletin",""
"Chik","Colombia","Guajira","province",2015-01-04,2015-09-19,NA,4479,NA,"clinical=4469;lab=10;suspicious=0","EpiBulletin",""
"Chik","Colombia","Magdalena","province",2015-01-04,2015-09-19,NA,2343,NA,"clinical=2341;lab=2;suspicious=0","EpiBulletin",""
"Chik","Colombia","San_Andres","province",2015-01-04,2015-09-19,NA,994,NA,"clinical=990;lab=1;suspicious=3","EpiBulletin",""
"Chik","Colombia","Santa_Marta","province",2015-01-04,2015-09-19,NA,1597,NA,"clinical=1592;lab=5;suspicious=0","EpiBulletin",""
"Chik","Colombia","Sucre","province",2015-01-04,2015-09-19,NA,6750,NA,"clinical=6745;lab=5;suspicious=0","EpiBulletin",""
