"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2017-12-31,2018-10-13,NA,498,NA,"alarm=2;death=0;probable=496;severe=0","EpiBulletin",""
"Dengue","Brazil","Acre","state",2017-12-31,2018-10-13,NA,3073,NA,"alarm=4;death=0;probable=3068;severe=1","EpiBulletin",""
"Dengue","Brazil","Amazonas","state",2017-12-31,2018-10-13,NA,2272,NA,"alarm=7;death=3;probable=2259;severe=3","EpiBulletin",""
"Dengue","Brazil","Roraima","state",2017-12-31,2018-10-13,NA,214,NA,"alarm=1;death=0;probable=213;severe=0","EpiBulletin",""
"Dengue","Brazil","Para","state",2017-12-31,2018-10-13,NA,4087,NA,"alarm=6;death=0;probable=4080;severe=1","EpiBulletin",""
"Dengue","Brazil","Amapa","state",2017-12-31,2018-10-13,NA,652,NA,"alarm=6;death=0;probable=646;severe=0","EpiBulletin",""
"Dengue","Brazil","Tocantins","state",2017-12-31,2018-10-13,NA,2030,NA,"alarm=44;death=0;probable=1981;severe=5","EpiBulletin",""
"Dengue","Brazil","Maranhao","state",2017-12-31,2018-10-13,NA,2001,NA,"alarm=27;death=2;probable=1966;severe=6","EpiBulletin",""
"Dengue","Brazil","Piaui","state",2017-12-31,2018-10-13,NA,1691,NA,"alarm=3;death=1;probable=1684;severe=3","EpiBulletin",""
"Dengue","Brazil","Ceara","state",2017-12-31,2018-10-13,NA,4610,NA,"alarm=10;death=11;probable=4576;severe=13","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2017-12-31,2018-10-13,NA,22270,NA,"alarm=334;death=1;probable=21909;severe=26","EpiBulletin",""
"Dengue","Brazil","Paraiba","state",2017-12-31,2018-10-13,NA,10471,NA,"alarm=130;death=12;probable=10314;severe=15","EpiBulletin",""
"Dengue","Brazil","Pernambuco","state",2017-12-31,2018-10-13,NA,11389,NA,"alarm=71;death=2;probable=11307;severe=9","EpiBulletin",""
"Dengue","Brazil","Alagoas","state",2017-12-31,2018-10-13,NA,1855,NA,"alarm=30;death=2;probable=1819;severe=4","EpiBulletin",""
"Dengue","Brazil","Sergipe","state",2017-12-31,2018-10-13,NA,200,NA,"alarm=2;death=0;probable=198;severe=0","EpiBulletin",""
"Dengue","Brazil","Bahia","state",2017-12-31,2018-10-13,NA,8270,NA,"alarm=20;death=3;probable=8243;severe=4","EpiBulletin",""
"Dengue","Brazil","Minas_Gerais","state",2017-12-31,2018-10-13,NA,24840,NA,"alarm=115;death=9;probable=24696;severe=20","EpiBulletin",""
"Dengue","Brazil","Espirito_Santo","state",2017-12-31,2018-10-13,NA,8166,NA,"alarm=217;death=5;probable=7927;severe=17","EpiBulletin",""
"Dengue","Brazil","Rio_de_Janeiro","state",2017-12-31,2018-10-13,NA,13674,NA,"alarm=36;death=4;probable=13627;severe=7","EpiBulletin",""
"Dengue","Brazil","Sao_Paulo","state",2017-12-31,2018-10-13,NA,14249,NA,"alarm=41;death=6;probable=14192;severe=10","EpiBulletin",""
"Dengue","Brazil","Parana","state",2017-12-31,2018-10-13,NA,2001,NA,"alarm=17;death=2;probable=1979;severe=3","EpiBulletin",""
"Dengue","Brazil","Santa_Catarina","state",2017-12-31,2018-10-13,NA,196,NA,"alarm=0;death=0;probable=196;severe=0","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2017-12-31,2018-10-13,NA,113,NA,"alarm=1;death=0;probable=112;severe=0","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2017-12-31,2018-10-13,NA,2268,NA,"alarm=4;death=0;probable=2264;severe=0","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso","state",2017-12-31,2018-10-13,NA,6353,NA,"alarm=13;death=4;probable=6332;severe=4","EpiBulletin",""
"Dengue","Brazil","Goias","state",2017-12-31,2018-10-13,NA,69468,NA,"alarm=1546;death=60;probable=67756;severe=106","EpiBulletin",""
"Dengue","Brazil","Distrito_Federal","state",2017-12-31,2018-10-13,NA,1760,NA,"alarm=11;death=1;probable=1745;severe=3","EpiBulletin",""
