"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2012-12-30,2013-06-08,NA,8468,NA,"death=4;probable=8436;severe=28","EpiBulletinPrevYear",""
"Dengue","Brazil","Acre","state",2012-12-30,2013-06-08,NA,2291,NA,"death=0;probable=2289;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Amazonas","state",2012-12-30,2013-06-08,NA,15140,NA,"death=9;probable=15043;severe=88","EpiBulletinPrevYear",""
"Dengue","Brazil","Roraima","state",2012-12-30,2013-06-08,NA,372,NA,"death=0;probable=372;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Para","state",2012-12-30,2013-06-08,NA,8170,NA,"death=10;probable=8127;severe=33","EpiBulletinPrevYear",""
"Dengue","Brazil","Amapa","state",2012-12-30,2013-06-08,NA,1487,NA,"death=1;probable=1480;severe=6","EpiBulletinPrevYear",""
"Dengue","Brazil","Tocantins","state",2012-12-30,2013-06-08,NA,7284,NA,"death=3;probable=7262;severe=19","EpiBulletinPrevYear",""
"Dengue","Brazil","Maranhao","state",2012-12-30,2013-06-08,NA,2711,NA,"death=11;probable=2671;severe=29","EpiBulletinPrevYear",""
"Dengue","Brazil","Piaui","state",2012-12-30,2013-06-08,NA,3339,NA,"death=1;probable=3326;severe=12","EpiBulletinPrevYear",""
"Dengue","Brazil","Ceara","state",2012-12-30,2013-06-08,NA,16967,NA,"death=33;probable=16864;severe=70","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2012-12-30,2013-06-08,NA,10608,NA,"death=11;probable=10536;severe=61","EpiBulletinPrevYear",""
"Dengue","Brazil","Paraiba","state",2012-12-30,2013-06-08,NA,7783,NA,"death=10;probable=7717;severe=56","EpiBulletinPrevYear",""
"Dengue","Brazil","Pernambuco","state",2012-12-30,2013-06-08,NA,5560,NA,"death=14;probable=5514;severe=32","EpiBulletinPrevYear",""
"Dengue","Brazil","Alagoas","state",2012-12-30,2013-06-08,NA,5337,NA,"death=0;probable=5324;severe=13","EpiBulletinPrevYear",""
"Dengue","Brazil","Sergipe","state",2012-12-30,2013-06-08,NA,389,NA,"death=1;probable=387;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Bahia","state",2012-12-30,2013-06-08,NA,55857,NA,"death=12;probable=55746;severe=99","EpiBulletinPrevYear",""
"Dengue","Brazil","Minas_Gerais","state",2012-12-30,2013-06-08,NA,410413,NA,"death=96;probable=409955;severe=362","EpiBulletinPrevYear",""
"Dengue","Brazil","Espirito_Santo","state",2012-12-30,2013-06-08,NA,60681,NA,"death=22;probable=59416;severe=1243","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_de_Janeiro","state",2012-12-30,2013-06-08,NA,206654,NA,"death=53;probable=205409;severe=1192","EpiBulletinPrevYear",""
"Dengue","Brazil","Sao_Paulo","state",2012-12-30,2013-06-08,NA,213955,NA,"death=68;probable=213482;severe=405","EpiBulletinPrevYear",""
"Dengue","Brazil","Parana","state",2012-12-30,2013-06-08,NA,65566,NA,"death=26;probable=65314;severe=226","EpiBulletinPrevYear",""
"Dengue","Brazil","Santa_Catarina","state",2012-12-30,2013-06-08,NA,338,NA,"death=0;probable=337;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2012-12-30,2013-06-08,NA,424,NA,"death=0;probable=423;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2012-12-30,2013-06-08,NA,77799,NA,"death=34;probable=77019;severe=746","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso","state",2012-12-30,2013-06-08,NA,31885,NA,"death=24;probable=31768;severe=93","EpiBulletinPrevYear",""
"Dengue","Brazil","Goias","state",2012-12-30,2013-06-08,NA,127758,NA,"death=64;probable=126604;severe=1090","EpiBulletinPrevYear",""
"Dengue","Brazil","Distrito_Federal","state",2012-12-30,2013-06-08,NA,9779,NA,"death=6;probable=9760;severe=13","EpiBulletinPrevYear",""
