"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2017-01-01,2017-09-09,NA,1866,NA,"alarm=1;death=0;probable=1862;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Acre","state",2017-01-01,2017-09-09,NA,1137,NA,"alarm=0;death=0;probable=1137;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Amazonas","state",2017-01-01,2017-09-09,NA,3244,NA,"alarm=11;death=3;probable=3226;severe=4","EpiBulletinPrevYear",""
"Dengue","Brazil","Roraima","state",2017-01-01,2017-09-09,NA,252,NA,"alarm=1;death=0;probable=251;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Para","state",2017-01-01,2017-09-09,NA,7114,NA,"alarm=7;death=0;probable=7106;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Amapa","state",2017-01-01,2017-09-09,NA,825,NA,"alarm=9;death=1;probable=814;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Tocantins","state",2017-01-01,2017-09-09,NA,4623,NA,"alarm=96;death=2;probable=4523;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Maranhao","state",2017-01-01,2017-09-09,NA,6716,NA,"alarm=33;death=4;probable=6668;severe=11","EpiBulletinPrevYear",""
"Dengue","Brazil","Piaui","state",2017-01-01,2017-09-09,NA,4923,NA,"alarm=7;death=0;probable=4914;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Ceara","state",2017-01-01,2017-09-09,NA,38137,NA,"alarm=91;death=25;probable=37991;severe=30","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2017-01-01,2017-09-09,NA,5809,NA,"alarm=9;death=11;probable=5781;severe=8","EpiBulletinPrevYear",""
"Dengue","Brazil","Paraiba","state",2017-01-01,2017-09-09,NA,2795,NA,"alarm=11;death=1;probable=2782;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Pernambuco","state",2017-01-01,2017-09-09,NA,6330,NA,"alarm=34;death=7;probable=6276;severe=13","EpiBulletinPrevYear",""
"Dengue","Brazil","Alagoas","state",2017-01-01,2017-09-09,NA,2415,NA,"alarm=9;death=4;probable=2399;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Sergipe","state",2017-01-01,2017-09-09,NA,447,NA,"alarm=1;death=0;probable=446;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Bahia","state",2017-01-01,2017-09-09,NA,8568,NA,"alarm=12;death=1;probable=8552;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Minas_Gerais","state",2017-01-01,2017-09-09,NA,23401,NA,"alarm=110;death=17;probable=23254;severe=20","EpiBulletinPrevYear",""
"Dengue","Brazil","Espirito_Santo","state",2017-01-01,2017-09-09,NA,5954,NA,"alarm=85;death=8;probable=5847;severe=14","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_de_Janeiro","state",2017-01-01,2017-09-09,NA,9079,NA,"alarm=71;death=3;probable=9002;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Sao_Paulo","state",2017-01-01,2017-09-09,NA,5922,NA,"alarm=51;death=5;probable=5851;severe=15","EpiBulletinPrevYear",""
"Dengue","Brazil","Parana","state",2017-01-01,2017-09-09,NA,1454,NA,"alarm=7;death=0;probable=1446;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Santa_Catarina","state",2017-01-01,2017-09-09,NA,130,NA,"alarm=0;death=0;probable=130;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2017-01-01,2017-09-09,NA,124,NA,"alarm=0;death=0;probable=123;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2017-01-01,2017-09-09,NA,1428,NA,"alarm=25;death=3;probable=1398;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso","state",2017-01-01,2017-09-09,NA,7968,NA,"alarm=15;death=4;probable=7946;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Goias","state",2017-01-01,2017-09-09,NA,58353,NA,"alarm=1698;death=51;probable=56506;severe=98","EpiBulletinPrevYear",""
"Dengue","Brazil","Distrito_Federal","state",2017-01-01,2017-09-09,NA,3574,NA,"alarm=78;death=10;probable=3471;severe=15","EpiBulletinPrevYear",""
