"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Acre","state",2002-01-01,2002-01-31,78,78,"total=78","total=78","TabnetTotal",""
"Dengue","Brazil","Acre","state",2002-01-01,2002-02-28,150,228,"total=150","total=228","TabnetTotal",""
"Dengue","Brazil","Acre","state",2002-01-01,2002-03-31,297,525,"total=297","total=525","TabnetTotal",""
"Dengue","Brazil","Acre","state",2002-01-01,2002-04-30,65,590,"total=65","total=590","TabnetTotal",""
"Dengue","Brazil","Acre","state",2002-01-01,2002-05-31,36,626,"total=36","total=626","TabnetTotal",""
"Dengue","Brazil","Acre","state",2002-01-01,2002-06-30,24,650,"total=24","total=650","TabnetTotal",""
"Dengue","Brazil","Acre","state",2002-01-01,2002-07-31,19,669,"total=19","total=669","TabnetTotal",""
"Dengue","Brazil","Acre","state",2002-01-01,2002-08-31,11,680,"total=11","total=680","TabnetTotal",""
"Dengue","Brazil","Acre","state",2002-01-01,2002-09-30,14,694,"total=14","total=694","TabnetTotal",""
"Dengue","Brazil","Acre","state",2002-01-01,2002-10-31,18,712,"total=18","total=712","TabnetTotal",""
"Dengue","Brazil","Acre","state",2002-01-01,2002-11-30,90,802,"total=90","total=802","TabnetTotal",""
"Dengue","Brazil","Acre","state",2002-01-01,2002-12-31,98,900,"total=98","total=900","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-01-31,278,278,"total=278","total=278","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-02-28,1061,1339,"total=1061","total=1339","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-03-31,2154,3493,"total=2154","total=3493","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-04-30,1497,4990,"total=1497","total=4990","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-05-31,896,5886,"total=896","total=5886","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-06-30,507,6393,"total=507","total=6393","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-07-31,371,6764,"total=371","total=6764","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-08-31,215,6979,"total=215","total=6979","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-09-30,146,7125,"total=146","total=7125","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-10-31,103,7228,"total=103","total=7228","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-11-30,131,7359,"total=131","total=7359","TabnetTotal",""
"Dengue","Brazil","Alagoas","state",2002-01-01,2002-12-31,144,7503,"total=144","total=7503","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-01-31,35,35,"total=35","total=35","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-02-28,194,229,"total=194","total=229","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-03-31,155,384,"total=155","total=384","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-04-30,74,458,"total=74","total=458","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-05-31,34,492,"total=34","total=492","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-06-30,36,528,"total=36","total=528","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-07-31,53,581,"total=53","total=581","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-08-31,113,694,"total=113","total=694","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-09-30,90,784,"total=90","total=784","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-10-31,33,817,"total=33","total=817","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-11-30,29,846,"total=29","total=846","TabnetTotal",""
"Dengue","Brazil","Amapa","state",2002-01-01,2002-12-31,19,865,"total=19","total=865","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-01-31,133,133,"total=133","total=133","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-02-28,545,678,"total=545","total=678","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-03-31,449,1127,"total=449","total=1127","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-04-30,253,1380,"total=253","total=1380","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-05-31,122,1502,"total=122","total=1502","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-06-30,96,1598,"total=96","total=1598","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-07-31,95,1693,"total=95","total=1693","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-08-31,131,1824,"total=131","total=1824","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-09-30,73,1897,"total=73","total=1897","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-10-31,62,1959,"total=62","total=1959","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-11-30,166,2125,"total=166","total=2125","TabnetTotal",""
"Dengue","Brazil","Amazonas","state",2002-01-01,2002-12-31,89,2214,"total=89","total=2214","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-01-31,5151,5151,"total=5151","total=5151","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-02-28,17766,22917,"total=17766","total=22917","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-03-31,27352,50269,"total=27352","total=50269","TabnetTotal",""
