full,abb,location,actual,region,latitude,regionLatOrder,regionNum
Brazil-Roraima,RR,Roraima,Roraima,Norte,2.7375971,1,1
Brazil-Amapa,AP,Amapa,Amapá,Norte,0.9019925,2,1
Brazil-Para,PA,Para,Pará,Norte,-1.9981271,3,1
Brazil-Amazonas,AM,Amazonas,Amazonas,Norte,-3.4168427,4,1
Brazil-Acre,AC,Acre,Acre,Norte,-9.0237964,5,1
Brazil-Tocantins,TO,Tocantins,Tocantins,Norte,-10.17528,6,1
Brazil-Rondonia,RO,Rondonia,Rondônia,Norte,-11.5057341,7,1
Brazil-Maranhao,MA,Maranhao,Maranhão,Nordeste,-4.9609498,8,2
Brazil-Rio_Grande_do_Norte,RN,Rio_Grande_do_Norte,Rio Grande do Norte,Nordeste,-5.4025803,9,2
Brazil-Ceara,CE,Ceara,Ceará,Nordeste,-5.4983977,10,2
Brazil-Paraiba,PB,Paraiba,Paraíba,Nordeste,-7.2399609,11,2
Brazil-Piaui,PI,Piaui,Piauí,Nordeste,-7.7183401,12,2
Brazil-Pernambuco,PE,Pernambuco,Pernambuco,Nordeste,-8.8137173,13,2
Brazil-Alagoas,AL,Alagoas,Alagoas,Nordeste,-9.5713058,14,2
Brazil-Sergipe,SE,Sergipe,Sergipe,Nordeste,-10.5740934,15,2
Brazil-Bahia,BA,Bahia,Bahia,Nordeste,-12.579738,16,2
Brazil-Minas_Gerais,MG,Minas_Gerais,Minas Gerais,Sudeste,-18.512178,17,3
Brazil-Espirito_Santo,ES,Espirito_Santo,Espírito Santo,Sudeste,-19.1834229,18,3
Brazil-Rio_de_Janeiro,RJ,Rio_de_Janeiro,Rio de Janeiro,Sudeste,-22.3534263,19,3
Brazil-Sao_Paulo,SP,Sao_Paulo,São Paulo,Sudeste,-23.5431786,20,3
Brazil-Mato_Grosso,MT,Mato_Grosso,Mato Grosso,Centro-Oeste,-12.6818712,21,4
Brazil-Distrito_Federal,DF,Distrito_Federal,Distrito Federal,Centro-Oeste,-15.798625,22,4
Brazil-Goias,GO,Goias,Goiás,Centro-Oeste,-15.8270369,23,4
Brazil-Mato_Grosso_do_Sul,MS,Mato_Grosso_do_Sul,Mato Grosso do Sul,Centro-Oeste,-20.7722295,24,4
Brazil-Parana,PR,Parana,Paraná,Sul,-25.2520888,25,5
Brazil-Santa_Catarina,SC,Santa_Catarina,Santa Catarina,Sul,-27.2423392,26,5
Brazil-Rio_Grande_do_Sul,RS,Rio_Grande_do_Sul,Rio Grande do Sul,Sul,-30.0346316,27,5
