"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Zika","Brazil","Acre","state",2016-01-03,2016-04-23,NA,716,NA,"total=716","EpiBulletin",""
"Zika","Brazil","Amapa","state",2016-01-03,2016-04-23,NA,127,NA,"total=127","EpiBulletin",""
"Zika","Brazil","Amazonas","state",2016-01-03,2016-04-23,NA,2172,NA,"total=2172","EpiBulletin",""
"Zika","Brazil","Para","state",2016-01-03,2016-04-23,NA,1079,NA,"total=1079","EpiBulletin",""
"Zika","Brazil","Rondonia","state",2016-01-03,2016-04-23,NA,783,NA,"total=783","EpiBulletin",""
"Zika","Brazil","Roraima","state",2016-01-03,2016-04-23,NA,56,NA,"total=56","EpiBulletin",""
"Zika","Brazil","Tocantins","state",2016-01-03,2016-04-23,NA,3612,NA,"total=3612","EpiBulletin",""
"Zika","Brazil","Alagoas","state",2016-01-03,2016-04-23,NA,1906,NA,"total=1906","EpiBulletin",""
"Zika","Brazil","Bahia","state",2016-01-03,2016-04-23,NA,34507,NA,"total=34507","EpiBulletin",""
"Zika","Brazil","Ceara","state",2016-01-03,2016-04-23,NA,676,NA,"total=676","EpiBulletin",""
"Zika","Brazil","Maranhao","state",2016-01-03,2016-04-23,NA,1877,NA,"total=1877","EpiBulletin",""
"Zika","Brazil","Paraiba","state",2016-01-03,2016-04-23,NA,1745,NA,"total=1745","EpiBulletin",""
"Zika","Brazil","Pernambuco","state",2016-01-03,2016-04-23,NA,367,NA,"total=367","EpiBulletin",""
"Zika","Brazil","Piaui","state",2016-01-03,2016-04-23,NA,75,NA,"total=75","EpiBulletin",""
"Zika","Brazil","Rio_Grande_do_Norte","state",2016-01-03,2016-04-23,NA,1443,NA,"total=1443","EpiBulletin",""
"Zika","Brazil","Sergipe","state",2016-01-03,2016-04-23,NA,404,NA,"total=404","EpiBulletin",""
"Zika","Brazil","Espirito_Santo","state",2016-01-03,2016-04-23,NA,1790,NA,"total=1790","EpiBulletin",""
"Zika","Brazil","Minas_Gerais","state",2016-01-03,2016-04-23,NA,9669,NA,"total=9669","EpiBulletin",""
"Zika","Brazil","Rio_de_Janeiro","state",2016-01-03,2016-04-23,NA,32312,NA,"total=32312","EpiBulletin",""
"Zika","Brazil","Sao_Paulo","state",2016-01-03,2016-04-23,NA,2547,NA,"total=2547","EpiBulletin",""
"Zika","Brazil","Parana","state",2016-01-03,2016-04-23,NA,1847,NA,"total=1847","EpiBulletin",""
"Zika","Brazil","Rio_Grande_do_Sul","state",2016-01-03,2016-04-23,NA,264,NA,"total=264","EpiBulletin",""
"Zika","Brazil","Santa_Catarina","state",2016-01-03,2016-04-23,NA,86,NA,"total=86","EpiBulletin",""
"Zika","Brazil","Distrito_Federal","state",2016-01-03,2016-04-23,NA,276,NA,"total=276","EpiBulletin",""
"Zika","Brazil","Goias","state",2016-01-03,2016-04-23,NA,1907,NA,"total=1907","EpiBulletin",""
"Zika","Brazil","Mato_Grosso","state",2016-01-03,2016-04-23,NA,17391,NA,"total=17391","EpiBulletin",""
"Zika","Brazil","Mato_Grosso_do_Sul","state",2016-01-03,2016-04-23,NA,527,NA,"total=527","EpiBulletin",""
