"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Zika","Brazil","Rondonia","state",2016-01-03,2016-10-01,NA,868,NA,"total=868","EpiBulletinPrevYear",""
"Zika","Brazil","Acre","state",2016-01-03,2016-10-01,NA,75,NA,"total=75","EpiBulletinPrevYear",""
"Zika","Brazil","Amazonas","state",2016-01-03,2016-10-01,NA,4373,NA,"total=4373","EpiBulletinPrevYear",""
"Zika","Brazil","Roraima","state",2016-01-03,2016-10-01,NA,126,NA,"total=126","EpiBulletinPrevYear",""
"Zika","Brazil","Para","state",2016-01-03,2016-10-01,NA,4397,NA,"total=4397","EpiBulletinPrevYear",""
"Zika","Brazil","Amapa","state",2016-01-03,2016-10-01,NA,366,NA,"total=366","EpiBulletinPrevYear",""
"Zika","Brazil","Tocantins","state",2016-01-03,2016-10-01,NA,2085,NA,"total=2085","EpiBulletinPrevYear",""
"Zika","Brazil","Maranhao","state",2016-01-03,2016-10-01,NA,4520,NA,"total=4520","EpiBulletinPrevYear",""
"Zika","Brazil","Piaui","state",2016-01-03,2016-10-01,NA,228,NA,"total=228","EpiBulletinPrevYear",""
"Zika","Brazil","Ceara","state",2016-01-03,2016-10-01,NA,4118,NA,"total=4118","EpiBulletinPrevYear",""
"Zika","Brazil","Rio_Grande_do_Norte","state",2016-01-03,2016-10-01,NA,3607,NA,"total=3607","EpiBulletinPrevYear",""
"Zika","Brazil","Paraiba","state",2016-01-03,2016-10-01,NA,3727,NA,"total=3727","EpiBulletinPrevYear",""
"Zika","Brazil","Pernambuco","state",2016-01-03,2016-10-01,NA,426,NA,"total=426","EpiBulletinPrevYear",""
"Zika","Brazil","Alagoas","state",2016-01-03,2016-10-01,NA,6744,NA,"total=6744","EpiBulletinPrevYear",""
"Zika","Brazil","Sergipe","state",2016-01-03,2016-10-01,NA,212,NA,"total=212","EpiBulletinPrevYear",""
"Zika","Brazil","Bahia","state",2016-01-03,2016-10-01,NA,50025,NA,"total=50025","EpiBulletinPrevYear",""
"Zika","Brazil","Minas_Gerais","state",2016-01-03,2016-10-01,NA,13739,NA,"total=13739","EpiBulletinPrevYear",""
"Zika","Brazil","Espirito_Santo","state",2016-01-03,2016-10-01,NA,2264,NA,"total=2264","EpiBulletinPrevYear",""
"Zika","Brazil","Rio_de_Janeiro","state",2016-01-03,2016-10-01,NA,70737,NA,"total=70737","EpiBulletinPrevYear",""
"Zika","Brazil","Sao_Paulo","state",2016-01-03,2016-10-01,NA,5045,NA,"total=5045","EpiBulletinPrevYear",""
"Zika","Brazil","Parana","state",2016-01-03,2016-10-01,NA,607,NA,"total=607","EpiBulletinPrevYear",""
"Zika","Brazil","Santa_Catarina","state",2016-01-03,2016-10-01,NA,63,NA,"total=63","EpiBulletinPrevYear",""
"Zika","Brazil","Rio_Grande_do_Sul","state",2016-01-03,2016-10-01,NA,159,NA,"total=159","EpiBulletinPrevYear",""
"Zika","Brazil","Mato_Grosso_do_Sul","state",2016-01-03,2016-10-01,NA,1701,NA,"total=1701","EpiBulletinPrevYear",""
"Zika","Brazil","Mato_Grosso","state",2016-01-03,2016-10-01,NA,21513,NA,"total=21513","EpiBulletinPrevYear",""
"Zika","Brazil","Goias","state",2016-01-03,2016-10-01,NA,10227,NA,"total=10227","EpiBulletinPrevYear",""
"Zika","Brazil","Distrito_Federal","state",2016-01-03,2016-10-01,NA,334,NA,"total=334","EpiBulletinPrevYear",""
