"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Zika","Colombia","Norte_Santander","province",2015-08-09,2016-01-30,NA,4983,NA,"clinical=4391;lab=440;suspicious=152","EpiBulletin",""
"Zika","Colombia","Huila","province",2015-08-09,2016-01-30,NA,2773,NA,"clinical=2520;lab=101;suspicious=152","EpiBulletin",""
"Zika","Colombia","Cundinamarca","province",2015-08-09,2016-01-30,NA,2591,NA,"clinical=2162;lab=60;suspicious=369","EpiBulletin",""
"Zika","Colombia","Barranquilla","province",2015-08-09,2016-01-30,NA,2389,NA,"clinical=2362;lab=27;suspicious=0","EpiBulletin",""
"Zika","Colombia","Tolima","province",2015-08-09,2016-01-30,NA,2015,NA,"clinical=1652;lab=78;suspicious=285","EpiBulletin",""
"Zika","Colombia","Cordoba","province",2015-08-09,2016-01-30,NA,1605,NA,"clinical=1111;lab=9;suspicious=485","EpiBulletin",""
"Zika","Colombia","Santa_Marta","province",2015-08-09,2016-01-30,NA,1301,NA,"clinical=1273;lab=28;suspicious=0","EpiBulletin",""
"Zika","Colombia","Atlantico","province",2015-08-09,2016-01-30,NA,1128,NA,"clinical=975;lab=11;suspicious=142","EpiBulletin",""
"Zika","Colombia","Sucre","province",2015-08-09,2016-01-30,NA,1040,NA,"clinical=790;lab=44;suspicious=206","EpiBulletin",""
"Zika","Colombia","San_Andres","province",2015-08-09,2016-01-30,NA,936,NA,"clinical=879;lab=54;suspicious=3","EpiBulletin",""
"Zika","Colombia","Cartagena","province",2015-08-09,2016-01-30,NA,767,NA,"clinical=710;lab=57;suspicious=0","EpiBulletin",""
"Zika","Colombia","Bolivar","province",2015-08-09,2016-01-30,NA,590,NA,"clinical=368;lab=90;suspicious=132","EpiBulletin",""
"Zika","Colombia","Magdalena","province",2015-08-09,2016-01-30,NA,548,NA,"clinical=198;lab=39;suspicious=311","EpiBulletin",""
"Zika","Colombia","Valle","province",2015-08-09,2016-01-30,NA,501,NA,"clinical=336;lab=12;suspicious=153","EpiBulletin",""
"Zika","Colombia","Cesar","province",2015-08-09,2016-01-30,NA,497,NA,"clinical=417;lab=15;suspicious=65","EpiBulletin",""
"Zika","Colombia","Antioquia","province",2015-08-09,2016-01-30,NA,415,NA,"clinical=244;lab=79;suspicious=92","EpiBulletin",""
"Zika","Colombia","Guajira","province",2015-08-09,2016-01-30,NA,280,NA,"clinical=171;lab=6;suspicious=103","EpiBulletin",""
"Zika","Colombia","Santander","province",2015-08-09,2016-01-30,NA,249,NA,"clinical=125;lab=18;suspicious=106","EpiBulletin",""
"Zika","Colombia","Risaralda","province",2015-08-09,2016-01-30,NA,159,NA,"clinical=124;lab=32;suspicious=3","EpiBulletin",""
"Zika","Colombia","Casanare","province",2015-08-09,2016-01-30,NA,151,NA,"clinical=118;lab=12;suspicious=21","EpiBulletin",""
"Zika","Colombia","Caqueta","province",2015-08-09,2016-01-30,NA,136,NA,"clinical=93;lab=9;suspicious=34","EpiBulletin",""
"Zika","Colombia","Meta","province",2015-08-09,2016-01-30,NA,128,NA,"clinical=97;lab=6;suspicious=25","EpiBulletin",""
"Zika","Colombia","Caldas","province",2015-08-09,2016-01-30,NA,95,NA,"clinical=54;lab=19;suspicious=22","EpiBulletin",""
"Zika","Colombia","Putumayo","province",2015-08-09,2016-01-30,NA,70,NA,"clinical=30;lab=32;suspicious=8","EpiBulletin",""
"Zika","Colombia","Boyaca","province",2015-08-09,2016-01-30,NA,63,NA,"clinical=29;lab=22;suspicious=12","EpiBulletin",""
"Zika","Colombia","Arauca","province",2015-08-09,2016-01-30,NA,60,NA,"clinical=44;lab=10;suspicious=6","EpiBulletin",""
"Zika","Colombia","Desconocido","province",2015-08-09,2016-01-30,NA,58,NA,"clinical=0;lab=0;suspicious=58","EpiBulletin",""
"Zika","Colombia","Quindio","province",2015-08-09,2016-01-30,NA,34,NA,"clinical=0;lab=0;suspicious=34","EpiBulletin",""
"Zika","Colombia","Exterior","province",2015-08-09,2016-01-30,NA,28,NA,"clinical=0;lab=2;suspicious=26","EpiBulletin",""
"Zika","Colombia","Cauca","province",2015-08-09,2016-01-30,NA,14,NA,"clinical=1;lab=4;suspicious=9","EpiBulletin",""
"Zika","Colombia","Amazonas","province",2015-08-09,2016-01-30,NA,12,NA,"clinical=3;lab=3;suspicious=6","EpiBulletin",""
"Zika","Colombia","Narino","province",2015-08-09,2016-01-30,NA,10,NA,"clinical=1;lab=9;suspicious=0","EpiBulletin",""
"Zika","Colombia","Vichada","province",2015-08-09,2016-01-30,NA,7,NA,"clinical=3;lab=2;suspicious=2","EpiBulletin",""
"Zika","Colombia","Guaviare","province",2015-08-09,2016-01-30,NA,5,NA,"clinical=0;lab=1;suspicious=4","EpiBulletin",""
"Zika","Colombia","Choco","province",2015-08-09,2016-01-30,NA,5,NA,"clinical=0;lab=0;suspicious=5","EpiBulletin",""
"Zika","Colombia","Guainia","province",2015-08-09,2016-01-30,NA,2,NA,"clinical=0;lab=0;suspicious=2","EpiBulletin",""
"Zika","Colombia","Vaupes","province",2015-08-09,2016-01-30,NA,0,NA,"clinical=0;lab=0;suspicious=0","EpiBulletin",""
