"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Zika","Colombia","Valle","province",2017-01-01,2017-12-09,NA,991,NA,"clinical=976;lab=15;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Santander","province",2017-01-01,2017-12-09,NA,154,NA,"clinical=139;lab=15;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Tolima","province",2017-01-01,2017-12-09,NA,100,NA,"clinical=93;lab=7;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Meta","province",2017-01-01,2017-12-09,NA,60,NA,"clinical=56;lab=4;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Casanare","province",2017-01-01,2017-12-09,NA,58,NA,"clinical=52;lab=6;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Cundinamarca","province",2017-01-01,2017-12-09,NA,57,NA,"clinical=54;lab=3;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Huila","province",2017-01-01,2017-12-09,NA,49,NA,"clinical=40;lab=9;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Antioquia","province",2017-01-01,2017-12-09,NA,52,NA,"clinical=51;lab=1;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Norte_Santander","province",2017-01-01,2017-12-09,NA,36,NA,"clinical=28;lab=8;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Cesar","province",2017-01-01,2017-12-09,NA,34,NA,"clinical=34;lab=0;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Barranquilla","province",2017-01-01,2017-12-09,NA,29,NA,"clinical=21;lab=8;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Risaralda","province",2017-01-01,2017-12-09,NA,29,NA,"clinical=26;lab=3;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Atlantico","province",2017-01-01,2017-12-09,NA,26,NA,"clinical=13;lab=13;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Sucre","province",2017-01-01,2017-12-09,NA,27,NA,"clinical=26;lab=1;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Putumayo","province",2017-01-01,2017-12-09,NA,30,NA,"clinical=29;lab=1;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Cartagena","province",2017-01-01,2017-12-09,NA,23,NA,"clinical=21;lab=2;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Caldas","province",2017-01-01,2017-12-09,NA,23,NA,"clinical=20;lab=3;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Amazonas","province",2017-01-01,2017-12-09,NA,15,NA,"clinical=15;lab=0;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Santa_Marta","province",2017-01-01,2017-12-09,NA,14,NA,"clinical=14;lab=0;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Cordoba","province",2017-01-01,2017-12-09,NA,17,NA,"clinical=11;lab=6;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Arauca","province",2017-01-01,2017-12-09,NA,14,NA,"clinical=13;lab=1;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Caqueta","province",2017-01-01,2017-12-09,NA,14,NA,"clinical=12;lab=2;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Cauca","province",2017-01-01,2017-12-09,NA,12,NA,"clinical=7;lab=5;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Bolivar","province",2017-01-01,2017-12-09,NA,9,NA,"clinical=5;lab=4;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Guajira","province",2017-01-01,2017-12-09,NA,10,NA,"clinical=9;lab=1;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Boyaca","province",2017-01-01,2017-12-09,NA,7,NA,"clinical=5;lab=2;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Vaupes","province",2017-01-01,2017-12-09,NA,7,NA,"clinical=6;lab=1;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Narino","province",2017-01-01,2017-12-09,NA,8,NA,"clinical=5;lab=3;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Guaviare","province",2017-01-01,2017-12-09,NA,7,NA,"clinical=7;lab=0;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Magdalena","province",2017-01-01,2017-12-09,NA,4,NA,"clinical=3;lab=1;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Quindio","province",2017-01-01,2017-12-09,NA,3,NA,"clinical=2;lab=1;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Exterior","province",2017-01-01,2017-12-09,NA,2,NA,"clinical=0;lab=2;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Choco","province",2017-01-01,2017-12-09,NA,1,NA,"clinical=1;lab=0;suspicious=NA","EpiBulletin",""
"Zika","Colombia","Buenaventura","province",2017-01-01,2017-12-09,NA,1,NA,"clinical=1;lab=0;suspicious=NA","EpiBulletin",""
