"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Narino",2013-12-29,2014-11-29,16,16,16,16
"Narino",2013-12-29,2014-12-06,16,16,16,16
"Narino",2013-12-29,2014-12-13,16,16,16,16
"Narino",2013-12-29,2014-12-20,17,17,17,17
"Narino",2013-12-29,2014-12-27,19,19,19,19
"Narino",2013-12-29,2015-01-03,20,20,20,20
"Narino",2013-12-29,2015-01-10,145,43,20,31.5
"Narino",2013-12-29,2015-01-17,43,43,20,31.5
"Narino",2013-12-29,2015-01-24,45,45,20,32.5
"Narino",2013-12-29,2015-01-31,46,46,20,33
"Narino",2013-12-29,2015-02-07,51,51,22,36.5
"Narino",2013-12-29,2015-02-14,55,55,26,40.5
"Narino",2013-12-29,2015-02-21,78,78,49,63.5
"Narino",2013-12-29,2015-02-28,83,83,54,68.5
"Narino",2013-12-29,2015-03-07,116,116,87,101.5
"Narino",2013-12-29,2015-03-14,142,142,113,127.5
"Narino",2013-12-29,2015-03-21,208,208,179,193.5
"Narino",2013-12-29,2015-03-28,391,391,362,376.5
"Narino",2013-12-29,2015-04-04,499,499,470,484.5
"Narino",2013-12-29,2015-04-11,700,700,671,685.5
"Narino",2013-12-29,2015-04-18,735,735,706,720.5
"Narino",2013-12-29,2015-04-25,861,861,832,846.5
"Narino",2013-12-29,2015-05-02,950,950,921,935.5
"Narino",2013-12-29,2015-05-09,987,987,958,972.5
"Narino",2013-12-29,2015-05-16,1029,1029,1000,1014.5
"Narino",2013-12-29,2015-05-23,1053,1053,1024,1038.5
"Narino",2013-12-29,2015-05-30,1076,1076,1047,1061.5
"Narino",2013-12-29,2015-06-06,1100,1100,1071,1085.5
"Narino",2013-12-29,2015-06-13,1136,1136,1107,1121.5
"Narino",2013-12-29,2015-06-20,1148,1148,1119,1133.5
"Narino",2013-12-29,2015-06-27,1159,1159,1130,1144.5
"Narino",2013-12-29,2015-07-04,1166,1166,1137,1151.5
"Narino",2013-12-29,2015-07-11,1171,1171,1142,1156.5
"Narino",2013-12-29,2015-07-18,1183,1183,1154,1168.5
"Narino",2013-12-29,2015-07-25,1185,1185,1156,1170.5
"Narino",2013-12-29,2015-08-01,1192,1192,1163,1177.5
"Narino",2013-12-29,2015-08-08,1192,1192,1163,1177.5
"Narino",2013-12-29,2015-08-15,1193,1193,1164,1178.5
"Narino",2013-12-29,2015-08-22,1195,1195,1166,1180.5
"Narino",2013-12-29,2015-08-29,1204,1204,1175,1189.5
"Narino",2013-12-29,2015-09-12,1353,1353,1324,1338.5
"Narino",2013-12-29,2015-09-19,1503,1503,1474,1488.5
"Narino",2013-12-29,2015-09-26,1849,1839,1820,1829.5
"Narino",2013-12-29,2015-10-03,1839,1839,1820,1829.5
"Narino",2013-12-29,2015-10-10,1839,1839,1820,1829.5
"Narino",2013-12-29,2015-10-17,1842,1842,1823,1832.5
"Narino",2013-12-29,2015-10-24,1843,1843,1824,1833.5
"Narino",2013-12-29,2015-10-31,1843,1843,1824,1833.5
"Narino",2013-12-29,2015-11-07,1870,1870,1851,1860.5
"Narino",2013-12-29,2015-11-14,1872,1872,1853,1862.5
"Narino",2013-12-29,2015-11-21,2311,2311,2292,2301.5
"Narino",2013-12-29,2015-11-28,2311,2311,2292,2301.5
"Narino",2013-12-29,2015-12-05,2317,2317,2298,2307.5
"Narino",2013-12-29,2015-12-12,2352,2333,2333,2333
"Narino",2013-12-29,2015-12-19,2352,2333,2333,2333
"Narino",2013-12-29,2015-12-26,2333,2333,2333,2333
"Narino",2013-12-29,2016-01-02,2335,2335,2335,2335
"Narino",2013-12-29,2016-01-09,2337,2337,2335,2336
"Narino",2013-12-29,2016-01-16,2342,2342,2335,2338.5
"Narino",2013-12-29,2016-01-23,2345,2345,2335,2340
"Narino",2013-12-29,2016-01-30,2352,2352,2337,2344.5
"Narino",2013-12-29,2016-02-06,2355,2355,2340,2347.5
"Narino",2013-12-29,2016-02-13,2361,2361,2346,2353.5
"Narino",2013-12-29,2016-02-20,2362,2362,2347,2354.5
"Narino",2013-12-29,2016-02-27,2364,2364,2349,2356.5
"Narino",2013-12-29,2016-03-05,2369,2369,2354,2361.5
"Narino",2013-12-29,2016-03-12,2372,2372,2357,2364.5
"Narino",2013-12-29,2016-03-19,2374,2374,2359,2366.5
"Narino",2013-12-29,2016-03-26,2380,2380,2365,2372.5
"Narino",2013-12-29,2016-04-02,2382,2382,2367,2374.5
"Narino",2013-12-29,2016-04-09,2384,2384,2369,2376.5
"Narino",2013-12-29,2016-04-16,2386,2386,2371,2378.5
"Narino",2013-12-29,2016-04-23,2386,2386,2371,2378.5
"Narino",2013-12-29,2016-04-30,2389,2389,2374,2381.5
"Narino",2013-12-29,2016-05-07,2392,2392,2377,2384.5
"Narino",2013-12-29,2016-05-14,2393,2392,2378,2385
"Narino",2013-12-29,2016-05-21,2394,2392,2379,2385.5
"Narino",2013-12-29,2016-05-28,2392,2392,2379,2385.5
"Narino",2013-12-29,2016-06-04,2394,2393,2381,2387
"Narino",2013-12-29,2016-06-11,2398,2393,2385,2389
"Narino",2013-12-29,2016-06-18,2398,2393,2385,2389
"Narino",2013-12-29,2016-06-25,2394,2393,2385,2389
"Narino",2013-12-29,2016-07-02,2393,2393,2385,2389
"Narino",2013-12-29,2016-07-09,2396,2396,2388,2392
"Narino",2013-12-29,2016-07-16,2397,2397,2389,2393
"Narino",2013-12-29,2016-07-23,2397,2397,2389,2393
"Narino",2013-12-29,2016-07-30,2400,2400,2392,2396
"Narino",2013-12-29,2016-08-06,2403,2401,2395,2398
"Narino",2013-12-29,2016-08-13,2401,2401,2395,2398
"Narino",2013-12-29,2016-08-20,2401,2401,2395,2398
"Narino",2013-12-29,2016-08-27,2402,2402,2396,2399
"Narino",2013-12-29,2016-09-03,2403,2403,2397,2400
"Narino",2013-12-29,2016-09-10,2403,2403,2397,2400
"Narino",2013-12-29,2016-09-17,2403,2403,2397,2400
"Narino",2013-12-29,2016-09-24,2403,2403,2397,2400
"Narino",2013-12-29,2016-10-01,2403,2403,2397,2400
"Narino",2013-12-29,2016-10-08,2403,2403,2397,2400
"Narino",2013-12-29,2016-10-15,2403,2403,2397,2400
"Narino",2013-12-29,2016-10-22,2405,2405,2399,2402
"Narino",2013-12-29,2016-10-29,2408,2408,2402,2405
"Narino",2013-12-29,2016-11-05,2412,2409,2406,2407.5
"Narino",2013-12-29,2016-11-12,2411,2409,2406,2407.5
"Narino",2013-12-29,2016-11-19,2411,2409,2406,2407.5
"Narino",2013-12-29,2016-11-26,2411,2409,2406,2407.5
"Narino",2013-12-29,2016-12-03,2412,2409,2407,2408
"Narino",2013-12-29,2016-12-10,2411,2409,2407,2408
"Narino",2013-12-29,2016-12-17,2410,2409,2407,2408
"Narino",2013-12-29,2016-12-24,2412,2409,2409,2409
"Narino",2013-12-29,2016-12-31,2409,2409,2409,2409
"Narino",2013-12-29,2017-02-04,2409,2409,2409,2409
"Narino",2013-12-29,2017-02-11,2410,2410,2410,2410
"Narino",2013-12-29,2017-02-18,2411,2411,2411,2411
"Narino",2013-12-29,2017-02-25,2411,2411,2411,2411
"Narino",2013-12-29,2017-03-04,2411,2411,2411,2411
"Narino",2013-12-29,2017-03-11,2411,2411,2411,2411
"Narino",2013-12-29,2017-03-18,2411,2411,2411,2411
"Narino",2013-12-29,2017-03-25,2411,2411,2411,2411
"Narino",2013-12-29,2017-04-01,2412,2412,2412,2412
"Narino",2013-12-29,2017-04-08,2412,2412,2412,2412
"Narino",2013-12-29,2017-04-15,2412,2412,2412,2412
"Narino",2013-12-29,2017-04-22,2412,2412,2412,2412
"Narino",2013-12-29,2017-04-29,2412,2412,2412,2412
"Narino",2013-12-29,2017-05-06,2413,2413,2413,2413
"Narino",2013-12-29,2017-05-13,2413,2413,2413,2413
"Narino",2013-12-29,2017-05-20,2413,2413,2413,2413
"Narino",2013-12-29,2017-05-27,2413,2413,2413,2413
"Narino",2013-12-29,2017-06-03,2413,2413,2413,2413
"Narino",2013-12-29,2017-06-10,2413,2413,2413,2413
"Narino",2013-12-29,2017-06-17,2413,2413,2413,2413
"Narino",2013-12-29,2017-06-24,2413,2413,2413,2413
"Narino",2013-12-29,2017-07-08,2414,2414,2414,2414
"Narino",2013-12-29,2017-07-15,2414,2414,2414,2414
"Narino",2013-12-29,2017-07-22,2414,2414,2414,2414
"Narino",2013-12-29,2017-07-29,2414,2414,2414,2414
"Narino",2013-12-29,2017-08-05,2414,2414,2414,2414
"Narino",2013-12-29,2017-08-12,2414,2414,2414,2414
"Narino",2013-12-29,2017-08-19,2414,2414,2414,2414
"Narino",2013-12-29,2017-08-26,2414,2414,2414,2414
"Narino",2013-12-29,2017-09-02,2414,2414,2414,2414
"Narino",2013-12-29,2017-09-09,2414,2414,2414,2414
"Narino",2013-12-29,2017-09-16,2414,2414,2414,2414
"Narino",2013-12-29,2017-09-23,2414,2414,2414,2414
"Narino",2013-12-29,2017-09-30,2414,2414,2414,2414
"Narino",2013-12-29,2017-10-14,2414,2414,2414,2414
"Narino",2013-12-29,2017-10-21,2414,2414,2414,2414
"Narino",2013-12-29,2017-10-28,2415,2415,2415,2415
"Narino",2013-12-29,2017-11-04,2415,2415,2415,2415
"Narino",2013-12-29,2017-11-11,2416,2416,2416,2416
"Narino",2013-12-29,2017-11-18,2416,2416,2416,2416
"Narino",2013-12-29,2017-11-25,2417,2417,2417,2417
"Narino",2013-12-29,2017-12-02,2417,2417,2417,2417
"Narino",2013-12-29,2017-12-09,2417,2417,2417,2417
"Narino",2013-12-29,2017-12-16,2417,2417,2417,2417
"Narino",2013-12-29,2017-12-23,2419,2419,2419,2419
"Narino",2013-12-29,2017-12-30,2419,2419,2419,2419
