"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Maranhao",1995-02-01,1995-02-28,5,5,5,5
"Maranhao",1995-02-01,1995-03-31,24,24,24,24
"Maranhao",1995-02-01,1995-04-30,49,49,49,49
"Maranhao",1995-02-01,1995-05-31,272,272,272,272
"Maranhao",1995-02-01,1995-06-30,604,604,604,604
"Maranhao",1995-02-01,1995-07-31,740,740,740,740
"Maranhao",1995-02-01,1995-08-31,865,865,865,865
"Maranhao",1995-02-01,1995-09-30,1077,1077,1077,1077
"Maranhao",1995-02-01,1995-10-31,1216,1216,1216,1216
"Maranhao",1995-02-01,1995-11-30,1501,1501,1501,1501
"Maranhao",1995-02-01,1995-12-31,1776,1776,1776,1776
"Maranhao",1995-02-01,1996-01-31,6476,6476,6476,6476
"Maranhao",1995-02-01,1996-02-29,7059,7059,7059,7059
"Maranhao",1995-02-01,1996-03-31,7413,7413,7413,7413
"Maranhao",1995-02-01,1996-04-30,7668,7668,7668,7668
"Maranhao",1995-02-01,1996-05-31,7878,7878,7878,7878
"Maranhao",1995-02-01,1996-06-30,7964,7964,7964,7964
"Maranhao",1995-02-01,1996-07-31,7973,7973,7973,7973
"Maranhao",1995-02-01,1996-08-31,7984,7984,7984,7984
"Maranhao",1995-02-01,1996-09-30,8006,8006,8006,8006
"Maranhao",1995-02-01,1996-10-31,8024,8024,8024,8024
"Maranhao",1995-02-01,1996-11-30,8056,8056,8056,8056
"Maranhao",1995-02-01,1996-12-31,8088,8088,8088,8088
"Maranhao",1995-02-01,1997-01-31,8256,8256,8256,8256
"Maranhao",1995-02-01,1997-02-28,8565,8565,8565,8565
"Maranhao",1995-02-01,1997-03-31,8986,8986,8986,8986
"Maranhao",1995-02-01,1997-04-30,9853,9853,9853,9853
"Maranhao",1995-02-01,1997-05-31,11539,11539,11539,11539
"Maranhao",1995-02-01,1997-06-30,12760,12760,12760,12760
"Maranhao",1995-02-01,1997-07-31,13475,13475,13475,13475
"Maranhao",1995-02-01,1997-08-31,13752,13752,13752,13752
"Maranhao",1995-02-01,1997-09-30,14023,14023,14023,14023
"Maranhao",1995-02-01,1997-10-31,14161,14161,14161,14161
"Maranhao",1995-02-01,1997-11-30,14190,14190,14190,14190
"Maranhao",1995-02-01,1997-12-31,14190,14190,14190,14190
"Maranhao",1995-02-01,1998-01-31,14940,14940,14940,14940
"Maranhao",1995-02-01,1998-02-28,16866,16866,16866,16866
"Maranhao",1995-02-01,1998-03-31,20168,20168,20168,20168
"Maranhao",1995-02-01,1998-04-30,23004,23004,23004,23004
"Maranhao",1995-02-01,1998-05-31,24100,24100,24100,24100
"Maranhao",1995-02-01,1998-06-30,24517,24517,24517,24517
"Maranhao",1995-02-01,1998-07-31,24832,24832,24832,24832
"Maranhao",1995-02-01,1998-08-31,25047,25047,25047,25047
"Maranhao",1995-02-01,1998-09-30,25288,25288,25288,25288
"Maranhao",1995-02-01,1998-10-31,25635,25635,25635,25635
"Maranhao",1995-02-01,1998-11-30,25898,25898,25898,25898
"Maranhao",1995-02-01,1998-12-31,26361,26361,26361,26361
"Maranhao",1995-02-01,1999-01-31,26928,26928,26928,26928
"Maranhao",1995-02-01,1999-02-28,27376,27376,27376,27376
"Maranhao",1995-02-01,1999-03-31,27991,27991,27991,27991
"Maranhao",1995-02-01,1999-04-30,28612,28612,28612,28612
"Maranhao",1995-02-01,1999-05-31,29404,29404,29404,29404
"Maranhao",1995-02-01,1999-06-30,29769,29769,29769,29769
"Maranhao",1995-02-01,1999-07-31,29983,29983,29983,29983
"Maranhao",1995-02-01,1999-08-31,30332,30332,30332,30332
"Maranhao",1995-02-01,1999-09-30,30441,30441,30441,30441
"Maranhao",1995-02-01,1999-10-31,30534,30534,30534,30534
"Maranhao",1995-02-01,1999-11-30,30695,30695,30695,30695
"Maranhao",1995-02-01,1999-12-31,31052,31052,31052,31052
"Maranhao",1995-02-01,2000-01-31,31924,31924,31924,31924
"Maranhao",1995-02-01,2000-02-29,32709,32709,32709,32709
"Maranhao",1995-02-01,2000-03-31,33555,33555,33555,33555
"Maranhao",1995-02-01,2000-04-30,33825,33825,33825,33825
"Maranhao",1995-02-01,2000-05-31,34161,34161,34161,34161
"Maranhao",1995-02-01,2000-06-30,34480,34480,34480,34480
"Maranhao",1995-02-01,2000-07-31,34682,34682,34682,34682
"Maranhao",1995-02-01,2000-08-31,34941,34941,34941,34941
"Maranhao",1995-02-01,2000-09-30,35060,35060,35060,35060
"Maranhao",1995-02-01,2000-10-31,35178,35178,35178,35178
"Maranhao",1995-02-01,2000-11-30,35334,35334,35334,35334
"Maranhao",1995-02-01,2000-12-31,35391,35391,35391,35391
"Maranhao",1995-02-01,2001-01-31,36426,36426,36426,36426
"Maranhao",1995-02-01,2001-02-28,37400,37400,37400,37400
"Maranhao",1995-02-01,2001-03-31,38674,38674,38674,38674
"Maranhao",1995-02-01,2001-04-30,39454,39454,39454,39454
"Maranhao",1995-02-01,2001-05-31,40257,40257,40257,40257
"Maranhao",1995-02-01,2001-06-30,40675,40675,40675,40675
"Maranhao",1995-02-01,2001-07-31,40913,40913,40913,40913
"Maranhao",1995-02-01,2001-08-31,41076,41076,41076,41076
"Maranhao",1995-02-01,2001-09-30,41171,41171,41171,41171
"Maranhao",1995-02-01,2001-10-31,41296,41296,41296,41296
"Maranhao",1995-02-01,2001-11-30,41426,41426,41426,41426
"Maranhao",1995-02-01,2001-12-31,41641,41641,41641,41641
"Maranhao",1995-02-01,2002-01-31,42414,42414,42414,42414
"Maranhao",1995-02-01,2002-02-28,44286,44286,44286,44286
"Maranhao",1995-02-01,2002-03-31,46072,46072,46072,46072
"Maranhao",1995-02-01,2002-04-30,46924,46924,46924,46924
"Maranhao",1995-02-01,2002-05-31,47504,47504,47504,47504
"Maranhao",1995-02-01,2002-06-30,47843,47843,47843,47843
"Maranhao",1995-02-01,2002-07-31,48133,48133,48133,48133
"Maranhao",1995-02-01,2002-08-31,48478,48478,48478,48478
"Maranhao",1995-02-01,2002-09-30,48710,48710,48710,48710
"Maranhao",1995-02-01,2002-10-31,49141,49141,49141,49141
"Maranhao",1995-02-01,2002-11-30,49621,49621,49621,49621
"Maranhao",1995-02-01,2002-12-31,50029,50029,50029,50029
"Maranhao",1995-02-01,2003-01-31,51318,51318,51318,51318
"Maranhao",1995-02-01,2003-02-28,52710,52710,52710,52710
"Maranhao",1995-02-01,2003-03-31,53900,53900,53900,53900
"Maranhao",1995-02-01,2003-04-30,54512,54512,54512,54512
"Maranhao",1995-02-01,2003-05-31,55015,55015,55015,55015
"Maranhao",1995-02-01,2003-06-30,55277,55277,55277,55277
"Maranhao",1995-02-01,2003-07-31,55485,55485,55485,55485
"Maranhao",1995-02-01,2003-08-31,55622,55622,55622,55622
"Maranhao",1995-02-01,2003-09-30,55709,55709,55709,55709
"Maranhao",1995-02-01,2003-10-31,55759,55759,55759,55759
"Maranhao",1995-02-01,2003-11-30,55831,55831,55831,55831
"Maranhao",1995-02-01,2003-12-31,55978,55978,55978,55978
"Maranhao",1995-02-01,2004-01-31,56140,56140,56140,56140
"Maranhao",1995-02-01,2004-02-29,56402,56402,56402,56402
"Maranhao",1995-02-01,2004-03-31,56644,56644,56644,56644
"Maranhao",1995-02-01,2004-04-30,56806,56806,56806,56806
"Maranhao",1995-02-01,2004-05-31,56981,56981,56981,56981
"Maranhao",1995-02-01,2004-06-30,57116,57116,57116,57116
"Maranhao",1995-02-01,2004-07-31,57196,57196,57196,57196
"Maranhao",1995-02-01,2004-08-31,57276,57276,57276,57276
"Maranhao",1995-02-01,2004-09-30,57310,57310,57310,57310
"Maranhao",1995-02-01,2004-10-31,57378,57378,57378,57378
"Maranhao",1995-02-01,2004-11-30,57466,57466,57466,57466
"Maranhao",1995-02-01,2004-12-31,57609,57609,57609,57609
"Maranhao",1995-02-01,2005-01-31,57930,57930,57930,57930
"Maranhao",1995-02-01,2005-02-28,58520,58520,58520,58520
"Maranhao",1995-02-01,2005-03-31,59514,59514,59514,59514
"Maranhao",1995-02-01,2005-04-30,60293,60293,60293,60293
"Maranhao",1995-02-01,2005-05-31,61606,61606,61606,61606
"Maranhao",1995-02-01,2005-06-30,62599,62599,62599,62599
"Maranhao",1995-02-01,2005-07-31,63407,63407,63407,63407
"Maranhao",1995-02-01,2005-08-31,63771,63771,63771,63771
"Maranhao",1995-02-01,2005-09-30,63972,63972,63972,63972
"Maranhao",1995-02-01,2005-10-31,64056,64056,64056,64056
"Maranhao",1995-02-01,2005-11-30,64145,64145,64145,64145
"Maranhao",1995-02-01,2005-12-31,64216,64216,64216,64216
"Maranhao",1995-02-01,2006-01-31,64567,64567,64567,64567
"Maranhao",1995-02-01,2006-02-28,65105,65105,65105,65105
"Maranhao",1995-02-01,2006-03-31,65583,65583,65583,65583
"Maranhao",1995-02-01,2006-04-30,66122,66122,66122,66122
"Maranhao",1995-02-01,2006-05-31,66828,66828,66828,66828
"Maranhao",1995-02-01,2006-06-30,67128,67128,67128,67128
"Maranhao",1995-02-01,2006-07-31,67431,67431,67431,67431
"Maranhao",1995-02-01,2006-08-31,67824,67824,67824,67824
"Maranhao",1995-02-01,2006-09-30,68090,68090,68090,68090
"Maranhao",1995-02-01,2006-10-31,68471,68471,68471,68471
"Maranhao",1995-02-01,2006-11-30,68793,68793,68793,68793
"Maranhao",1995-02-01,2006-12-31,69241,69241,69241,69241
"Maranhao",1995-02-01,2007-01-31,70717,70717,70717,70717
"Maranhao",1995-02-01,2007-02-28,73140,73140,73140,73140
"Maranhao",1995-02-01,2007-03-31,75788,75788,75788,75788
"Maranhao",1995-02-01,2007-04-30,77921,77921,77921,77921
"Maranhao",1995-02-01,2007-05-31,79792,79792,79792,79792
"Maranhao",1995-02-01,2007-06-30,80791,80791,80791,80791
"Maranhao",1995-02-01,2007-07-31,81424,81424,81424,81424
"Maranhao",1995-02-01,2007-08-31,81758,81758,81758,81758
"Maranhao",1995-02-01,2007-09-30,81948,81948,81948,81948
"Maranhao",1995-02-01,2007-10-31,82116,82116,82116,82116
"Maranhao",1995-02-01,2007-11-30,82293,82293,82293,82293
