"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Para",1995-03-01,1995-03-31,2,2,2,2
"Para",1995-03-01,1995-04-30,8,8,8,8
"Para",1995-03-01,1995-05-31,24,24,24,24
"Para",1995-03-01,1995-06-30,28,28,28,28
"Para",1995-03-01,1995-07-31,28,28,28,28
"Para",1995-03-01,1995-08-31,28,28,28,28
"Para",1995-03-01,1995-09-30,28,28,28,28
"Para",1995-03-01,1995-10-31,28,28,28,28
"Para",1995-03-01,1995-11-30,28,28,28,28
"Para",1995-03-01,1995-12-31,28,28,28,28
"Para",1995-03-01,1996-01-31,29,29,29,29
"Para",1995-03-01,1996-02-29,35,35,35,35
"Para",1995-03-01,1996-03-31,36,36,36,36
"Para",1995-03-01,1996-04-30,38,38,38,38
"Para",1995-03-01,1996-05-31,39,39,39,39
"Para",1995-03-01,1996-06-30,39,39,39,39
"Para",1995-03-01,1996-07-31,39,39,39,39
"Para",1995-03-01,1996-08-31,39,39,39,39
"Para",1995-03-01,1996-09-30,40,40,40,40
"Para",1995-03-01,1996-10-31,50,50,50,50
"Para",1995-03-01,1996-11-30,302,302,302,302
"Para",1995-03-01,1996-12-31,349,349,349,349
"Para",1995-03-01,1997-01-31,423,423,423,423
"Para",1995-03-01,1997-02-28,747,747,747,747
"Para",1995-03-01,1997-03-31,1511,1511,1511,1511
"Para",1995-03-01,1997-04-30,4606,4606,4606,4606
"Para",1995-03-01,1997-05-31,6789,6789,6789,6789
"Para",1995-03-01,1997-06-30,8642,8642,8642,8642
"Para",1995-03-01,1997-07-31,10273,10273,10273,10273
"Para",1995-03-01,1997-08-31,12138,12138,12138,12138
"Para",1995-03-01,1997-09-30,14444,14444,14444,14444
"Para",1995-03-01,1997-10-31,17358,17358,17358,17358
"Para",1995-03-01,1997-11-30,19581,19581,19581,19581
"Para",1995-03-01,1997-12-31,21226,21226,21226,21226
"Para",1995-03-01,1998-01-31,25727,25727,25727,25727
"Para",1995-03-01,1998-02-28,29524,29524,29524,29524
"Para",1995-03-01,1998-03-31,31057,31057,31057,31057
"Para",1995-03-01,1998-04-30,31654,31654,31654,31654
"Para",1995-03-01,1998-05-31,31905,31905,31905,31905
"Para",1995-03-01,1998-06-30,32002,32002,32002,32002
"Para",1995-03-01,1998-07-31,32107,32107,32107,32107
"Para",1995-03-01,1998-08-31,32134,32134,32134,32134
"Para",1995-03-01,1998-09-30,32146,32146,32146,32146
"Para",1995-03-01,1998-10-31,32160,32160,32160,32160
"Para",1995-03-01,1998-11-30,32160,32160,32160,32160
"Para",1995-03-01,1998-12-31,32160,32160,32160,32160
"Para",1995-03-01,1999-01-31,32514,32514,32514,32514
"Para",1995-03-01,1999-02-28,32895,32895,32895,32895
"Para",1995-03-01,1999-03-31,33125,33125,33125,33125
"Para",1995-03-01,1999-04-30,33311,33311,33311,33311
"Para",1995-03-01,1999-05-31,33599,33599,33599,33599
"Para",1995-03-01,1999-06-30,33751,33751,33751,33751
"Para",1995-03-01,1999-07-31,33817,33817,33817,33817
"Para",1995-03-01,1999-08-31,33949,33949,33949,33949
"Para",1995-03-01,1999-09-30,34095,34095,34095,34095
"Para",1995-03-01,1999-10-31,34392,34392,34392,34392
"Para",1995-03-01,1999-11-30,34528,34528,34528,34528
"Para",1995-03-01,1999-12-31,34773,34773,34773,34773
"Para",1995-03-01,2000-01-31,36212,36212,36212,36212
"Para",1995-03-01,2000-02-29,38182,38182,38182,38182
"Para",1995-03-01,2000-03-31,39304,39304,39304,39304
"Para",1995-03-01,2000-04-30,39903,39903,39903,39903
"Para",1995-03-01,2000-05-31,40354,40354,40354,40354
"Para",1995-03-01,2000-06-30,40663,40663,40663,40663
"Para",1995-03-01,2000-07-31,40925,40925,40925,40925
"Para",1995-03-01,2000-08-31,41282,41282,41282,41282
"Para",1995-03-01,2000-09-30,41529,41529,41529,41529
"Para",1995-03-01,2000-10-31,41812,41812,41812,41812
"Para",1995-03-01,2000-11-30,42422,42422,42422,42422
"Para",1995-03-01,2000-12-31,42991,42991,42991,42991
"Para",1995-03-01,2001-01-31,45451,45451,45451,45451
"Para",1995-03-01,2001-02-28,49264,49264,49264,49264
"Para",1995-03-01,2001-03-31,53295,53295,53295,53295
"Para",1995-03-01,2001-04-30,55715,55715,55715,55715
"Para",1995-03-01,2001-05-31,56821,56821,56821,56821
"Para",1995-03-01,2001-06-30,57247,57247,57247,57247
"Para",1995-03-01,2001-07-31,57456,57456,57456,57456
"Para",1995-03-01,2001-08-31,57603,57603,57603,57603
"Para",1995-03-01,2001-09-30,57853,57853,57853,57853
"Para",1995-03-01,2001-10-31,58290,58290,58290,58290
"Para",1995-03-01,2001-11-30,59052,59052,59052,59052
"Para",1995-03-01,2001-12-31,59607,59607,59607,59607
"Para",1995-03-01,2002-01-31,61704,61704,61704,61704
"Para",1995-03-01,2002-02-28,64241,64241,64241,64241
"Para",1995-03-01,2002-03-31,66930,66930,66930,66930
"Para",1995-03-01,2002-04-30,68091,68091,68091,68091
"Para",1995-03-01,2002-05-31,68609,68609,68609,68609
"Para",1995-03-01,2002-06-30,68856,68856,68856,68856
"Para",1995-03-01,2002-07-31,69041,69041,69041,69041
"Para",1995-03-01,2002-08-31,69240,69240,69240,69240
"Para",1995-03-01,2002-09-30,69531,69531,69531,69531
"Para",1995-03-01,2002-10-31,69873,69873,69873,69873
"Para",1995-03-01,2002-11-30,70381,70381,70381,70381
"Para",1995-03-01,2002-12-31,71062,71062,71062,71062
"Para",1995-03-01,2003-01-31,72959,72959,72959,72959
"Para",1995-03-01,2003-02-28,75040,75040,75040,75040
"Para",1995-03-01,2003-03-31,76474,76474,76474,76474
"Para",1995-03-01,2003-04-30,77166,77166,77166,77166
"Para",1995-03-01,2003-05-31,77538,77538,77538,77538
"Para",1995-03-01,2003-06-30,77858,77858,77858,77858
"Para",1995-03-01,2003-07-31,78118,78118,78118,78118
"Para",1995-03-01,2003-08-31,78412,78412,78412,78412
"Para",1995-03-01,2003-09-30,78716,78716,78716,78716
"Para",1995-03-01,2003-10-31,79275,79275,79275,79275
"Para",1995-03-01,2003-11-30,79949,79949,79949,79949
"Para",1995-03-01,2003-12-31,80801,80801,80801,80801
"Para",1995-03-01,2004-01-31,82457,82457,82457,82457
"Para",1995-03-01,2004-02-29,83631,83631,83631,83631
"Para",1995-03-01,2004-03-31,84461,84461,84461,84461
"Para",1995-03-01,2004-04-30,84840,84840,84840,84840
"Para",1995-03-01,2004-05-31,85132,85132,85132,85132
