"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Paraiba",1995-02-01,1995-02-28,1,1,1,1
"Paraiba",1995-02-01,1995-03-31,36,36,36,36
"Paraiba",1995-02-01,1995-04-30,457,457,457,457
"Paraiba",1995-02-01,1995-05-31,1642,1642,1642,1642
"Paraiba",1995-02-01,1995-06-30,1643,1643,1643,1643
"Paraiba",1995-02-01,1995-07-31,1648,1648,1648,1648
"Paraiba",1995-02-01,1995-08-31,1654,1654,1654,1654
"Paraiba",1995-02-01,1995-09-30,1661,1661,1661,1661
"Paraiba",1995-02-01,1995-10-31,1672,1672,1672,1672
"Paraiba",1995-02-01,1995-11-30,1691,1691,1691,1691
"Paraiba",1995-02-01,1995-12-31,1701,1701,1701,1701
"Paraiba",1995-02-01,1996-01-31,1734,1734,1734,1734
"Paraiba",1995-02-01,1996-02-29,1750,1750,1750,1750
"Paraiba",1995-02-01,1996-03-31,3051,3051,3051,3051
"Paraiba",1995-02-01,1996-04-30,3848,3848,3848,3848
"Paraiba",1995-02-01,1996-05-31,7956,7956,7956,7956
"Paraiba",1995-02-01,1996-06-30,10899,10899,10899,10899
"Paraiba",1995-02-01,1996-07-31,11342,11342,11342,11342
"Paraiba",1995-02-01,1996-08-31,11597,11597,11597,11597
"Paraiba",1995-02-01,1996-09-30,12027,12027,12027,12027
"Paraiba",1995-02-01,1996-10-31,12442,12442,12442,12442
"Paraiba",1995-02-01,1996-11-30,13061,13061,13061,13061
"Paraiba",1995-02-01,1996-12-31,13769,13769,13769,13769
"Paraiba",1995-02-01,1997-01-31,17675,17675,17675,17675
"Paraiba",1995-02-01,1997-02-28,22884,22884,22884,22884
"Paraiba",1995-02-01,1997-03-31,35945,35945,35945,35945
"Paraiba",1995-02-01,1997-04-30,48651,48651,48651,48651
"Paraiba",1995-02-01,1997-05-31,57524,57524,57524,57524
"Paraiba",1995-02-01,1997-06-30,62708,62708,62708,62708
"Paraiba",1995-02-01,1997-07-31,64389,64389,64389,64389
"Paraiba",1995-02-01,1997-08-31,65008,65008,65008,65008
"Paraiba",1995-02-01,1997-09-30,65534,65534,65534,65534
"Paraiba",1995-02-01,1997-10-31,66306,66306,66306,66306
"Paraiba",1995-02-01,1997-11-30,66403,66403,66403,66403
"Paraiba",1995-02-01,1997-12-31,66470,66470,66470,66470
"Paraiba",1995-02-01,1998-01-31,67701,67701,67701,67701
"Paraiba",1995-02-01,1998-02-28,73042,73042,73042,73042
"Paraiba",1995-02-01,1998-03-31,89716,89716,89716,89716
"Paraiba",1995-02-01,1998-04-30,101800,101800,101800,101800
"Paraiba",1995-02-01,1998-05-31,113988,113988,113988,113988
"Paraiba",1995-02-01,1998-06-30,120239,120239,120239,120239
"Paraiba",1995-02-01,1998-07-31,122691,122691,122691,122691
"Paraiba",1995-02-01,1998-08-31,123798,123798,123798,123798
"Paraiba",1995-02-01,1998-09-30,124115,124115,124115,124115
"Paraiba",1995-02-01,1998-10-31,124359,124359,124359,124359
"Paraiba",1995-02-01,1998-11-30,124718,124718,124718,124718
"Paraiba",1995-02-01,1998-12-31,125082,125082,125082,125082
"Paraiba",1995-02-01,1999-01-31,126097,126097,126097,126097
"Paraiba",1995-02-01,1999-02-28,127484,127484,127484,127484
"Paraiba",1995-02-01,1999-03-31,129993,129993,129993,129993
"Paraiba",1995-02-01,1999-04-30,132287,132287,132287,132287
"Paraiba",1995-02-01,1999-05-31,134870,134870,134870,134870
"Paraiba",1995-02-01,1999-06-30,135372,135372,135372,135372
"Paraiba",1995-02-01,1999-07-31,136093,136093,136093,136093
"Paraiba",1995-02-01,1999-08-31,136872,136872,136872,136872
"Paraiba",1995-02-01,1999-09-30,137285,137285,137285,137285
"Paraiba",1995-02-01,1999-10-31,137831,137831,137831,137831
"Paraiba",1995-02-01,1999-11-30,138240,138240,138240,138240
"Paraiba",1995-02-01,1999-12-31,138591,138591,138591,138591
"Paraiba",1995-02-01,2000-01-31,139575,139575,139575,139575
"Paraiba",1995-02-01,2000-02-29,141518,141518,141518,141518
"Paraiba",1995-02-01,2000-03-31,145645,145645,145645,145645
"Paraiba",1995-02-01,2000-04-30,151430,151430,151430,151430
"Paraiba",1995-02-01,2000-05-31,156939,156939,156939,156939
"Paraiba",1995-02-01,2000-06-30,159057,159057,159057,159057
"Paraiba",1995-02-01,2000-07-31,160076,160076,160076,160076
"Paraiba",1995-02-01,2000-08-31,160439,160439,160439,160439
"Paraiba",1995-02-01,2000-09-30,160897,160897,160897,160897
"Paraiba",1995-02-01,2000-10-31,161173,161173,161173,161173
"Paraiba",1995-02-01,2000-11-30,161341,161341,161341,161341
"Paraiba",1995-02-01,2000-12-31,161395,161395,161395,161395
"Paraiba",1995-02-01,2001-01-31,161440,161440,161440,161440
"Paraiba",1995-02-01,2001-02-28,161730,161730,161730,161730
"Paraiba",1995-02-01,2001-03-31,162434,162434,162434,162434
"Paraiba",1995-02-01,2001-04-30,165425,165425,165425,165425
"Paraiba",1995-02-01,2001-05-31,170106,170106,170106,170106
"Paraiba",1995-02-01,2001-06-30,172232,172232,172232,172232
"Paraiba",1995-02-01,2001-07-31,173610,173610,173610,173610
"Paraiba",1995-02-01,2001-08-31,174633,174633,174633,174633
"Paraiba",1995-02-01,2001-09-30,175287,175287,175287,175287
"Paraiba",1995-02-01,2001-10-31,175721,175721,175721,175721
"Paraiba",1995-02-01,2001-11-30,176152,176152,176152,176152
"Paraiba",1995-02-01,2001-12-31,176347,176347,176347,176347
"Paraiba",1995-02-01,2002-01-31,177240,177240,177240,177240
"Paraiba",1995-02-01,2002-02-28,179568,179568,179568,179568
"Paraiba",1995-02-01,2002-03-31,184253,184253,184253,184253
"Paraiba",1995-02-01,2002-04-30,188135,188135,188135,188135
"Paraiba",1995-02-01,2002-05-31,190696,190696,190696,190696
"Paraiba",1995-02-01,2002-06-30,191852,191852,191852,191852
"Paraiba",1995-02-01,2002-07-31,192802,192802,192802,192802
"Paraiba",1995-02-01,2002-08-31,193433,193433,193433,193433
"Paraiba",1995-02-01,2002-09-30,193726,193726,193726,193726
"Paraiba",1995-02-01,2002-10-31,194012,194012,194012,194012
"Paraiba",1995-02-01,2002-11-30,194593,194593,194593,194593
"Paraiba",1995-02-01,2002-12-31,195074,195074,195074,195074
"Paraiba",1995-02-01,2003-01-31,196126,196126,196126,196126
"Paraiba",1995-02-01,2003-02-28,197562,197562,197562,197562
"Paraiba",1995-02-01,2003-03-31,199943,199943,199943,199943
"Paraiba",1995-02-01,2003-04-30,202619,202619,202619,202619
"Paraiba",1995-02-01,2003-05-31,205146,205146,205146,205146
"Paraiba",1995-02-01,2003-06-30,206127,206127,206127,206127
"Paraiba",1995-02-01,2003-07-31,206753,206753,206753,206753
"Paraiba",1995-02-01,2003-08-31,207136,207136,207136,207136
"Paraiba",1995-02-01,2003-09-30,207342,207342,207342,207342
"Paraiba",1995-02-01,2003-10-31,207545,207545,207545,207545
"Paraiba",1995-02-01,2003-11-30,207702,207702,207702,207702
"Paraiba",1995-02-01,2003-12-31,207874,207874,207874,207874
"Paraiba",1995-02-01,2004-01-31,208003,208003,208003,208003
"Paraiba",1995-02-01,2004-02-29,208255,208255,208255,208255
"Paraiba",1995-02-01,2004-03-31,208468,208468,208468,208468
"Paraiba",1995-02-01,2004-04-30,208607,208607,208607,208607
"Paraiba",1995-02-01,2004-05-31,208766,208766,208766,208766
"Paraiba",1995-02-01,2004-06-30,208907,208907,208907,208907
"Paraiba",1995-02-01,2004-07-31,209012,209012,209012,209012
"Paraiba",1995-02-01,2004-08-31,209104,209104,209104,209104
"Paraiba",1995-02-01,2004-09-30,209143,209143,209143,209143
"Paraiba",1995-02-01,2004-10-31,209188,209188,209188,209188
"Paraiba",1995-02-01,2004-11-30,209211,209211,209211,209211
"Paraiba",1995-02-01,2004-12-31,209231,209231,209231,209231
"Paraiba",1995-02-01,2005-01-31,209411,209411,209411,209411
"Paraiba",1995-02-01,2005-02-28,209789,209789,209789,209789
"Paraiba",1995-02-01,2005-03-31,210679,210679,210679,210679
"Paraiba",1995-02-01,2005-04-30,212083,212083,212083,212083
"Paraiba",1995-02-01,2005-05-31,213159,213159,213159,213159
"Paraiba",1995-02-01,2005-06-30,213810,213810,213810,213810
"Paraiba",1995-02-01,2005-07-31,214302,214302,214302,214302
"Paraiba",1995-02-01,2005-08-31,214657,214657,214657,214657
"Paraiba",1995-02-01,2005-09-30,214898,214898,214898,214898
"Paraiba",1995-02-01,2005-10-31,215023,215023,215023,215023
"Paraiba",1995-02-01,2005-11-30,215132,215132,215132,215132
"Paraiba",1995-02-01,2005-12-31,215256,215256,215256,215256
"Paraiba",1995-02-01,2006-01-31,215485,215485,215485,215485
"Paraiba",1995-02-01,2006-02-28,215686,215686,215686,215686
"Paraiba",1995-02-01,2006-03-31,216042,216042,216042,216042
"Paraiba",1995-02-01,2006-04-30,216480,216480,216480,216480
"Paraiba",1995-02-01,2006-05-31,216793,216793,216793,216793
"Paraiba",1995-02-01,2006-06-30,217106,217106,217106,217106
"Paraiba",1995-02-01,2006-07-31,217423,217423,217423,217423
"Paraiba",1995-02-01,2006-08-31,217698,217698,217698,217698
"Paraiba",1995-02-01,2006-09-30,217886,217886,217886,217886
"Paraiba",1995-02-01,2006-10-31,218072,218072,218072,218072
"Paraiba",1995-02-01,2006-11-30,218216,218216,218216,218216
"Paraiba",1995-02-01,2006-12-31,218344,218344,218344,218344
"Paraiba",1995-02-01,2007-01-31,218654,218654,218654,218654
"Paraiba",1995-02-01,2007-02-28,219456,219456,219456,219456
"Paraiba",1995-02-01,2007-03-31,221191,221191,221191,221191
"Paraiba",1995-02-01,2007-04-30,223497,223497,223497,223497
"Paraiba",1995-02-01,2007-05-31,225223,225223,225223,225223
"Paraiba",1995-02-01,2007-06-30,226129,226129,226129,226129
"Paraiba",1995-02-01,2007-07-31,227195,227195,227195,227195
"Paraiba",1995-02-01,2007-08-31,227862,227862,227862,227862
"Paraiba",1995-02-01,2007-09-30,228191,228191,228191,228191
"Paraiba",1995-02-01,2007-10-31,228531,228531,228531,228531
"Paraiba",1995-02-01,2007-11-30,228855,228855,228855,228855
"Paraiba",1995-02-01,2007-12-31,229132,229132,229132,229132
"Paraiba",1995-02-01,2008-01-31,229529,229529,229529,229529
"Paraiba",1995-02-01,2008-02-29,230653,230653,230653,230653
"Paraiba",1995-02-01,2008-03-31,232256,232256,232256,232256
"Paraiba",1995-02-01,2008-04-30,234986,234986,234986,234986
"Paraiba",1995-02-01,2008-05-31,236116,236116,236116,236116
"Paraiba",1995-02-01,2008-06-30,236519,236519,236519,236519
"Paraiba",1995-02-01,2008-07-31,236662,236662,236662,236662
"Paraiba",1995-02-01,2008-08-31,236753,236753,236753,236753
"Paraiba",1995-02-01,2008-09-30,236819,236819,236819,236819
"Paraiba",1995-02-01,2008-10-31,236861,236861,236861,236861
"Paraiba",1995-02-01,2008-11-30,236890,236890,236890,236890
"Paraiba",1995-02-01,2008-12-31,236938,236938,236938,236938
"Paraiba",1995-02-01,2009-01-31,236985,236985,236985,236985
"Paraiba",1995-02-01,2009-02-28,237044,237044,237044,237044
"Paraiba",1995-02-01,2009-03-31,237161,237161,237161,237161
"Paraiba",1995-02-01,2009-04-30,237282,237282,237282,237282
"Paraiba",1995-02-01,2009-05-31,237392,237392,237392,237392
"Paraiba",1995-02-01,2009-06-30,237502,237502,237502,237502
"Paraiba",1995-02-01,2009-07-31,237590,237590,237590,237590
"Paraiba",1995-02-01,2009-08-31,237644,237644,237644,237644
"Paraiba",1995-02-01,2009-09-30,237692,237692,237692,237692
"Paraiba",1995-02-01,2009-10-31,237733,237733,237733,237733
"Paraiba",1995-02-01,2009-11-30,237819,237819,237819,237819
"Paraiba",1995-02-01,2009-12-31,237905,237905,237905,237905
