"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Cesar",2006-12-31,2007-01-06,28,28,28,28
"Cesar",2006-12-31,2007-01-13,38,38,38,38
"Cesar",2006-12-31,2007-01-20,53,53,53,53
"Cesar",2006-12-31,2007-01-27,77,77,77,77
"Cesar",2006-12-31,2007-02-03,109,109,109,109
"Cesar",2006-12-31,2007-02-10,158,158,158,158
"Cesar",2006-12-31,2007-02-17,188,188,188,188
"Cesar",2006-12-31,2007-02-24,202,202,202,202
"Cesar",2006-12-31,2007-03-03,235,235,235,235
"Cesar",2006-12-31,2007-03-10,267,267,267,267
"Cesar",2006-12-31,2007-03-17,289,289,289,289
"Cesar",2006-12-31,2007-03-24,320,320,320,320
"Cesar",2006-12-31,2007-03-31,336,336,336,336
"Cesar",2006-12-31,2007-04-07,352,352,352,352
"Cesar",2006-12-31,2007-04-14,366,366,366,366
"Cesar",2006-12-31,2007-04-21,389,389,389,389
"Cesar",2006-12-31,2007-04-28,406,406,406,406
"Cesar",2006-12-31,2007-05-05,435,435,435,435
"Cesar",2006-12-31,2007-05-12,473,473,473,473
"Cesar",2006-12-31,2007-05-19,513,513,513,513
"Cesar",2006-12-31,2007-05-26,557,557,557,557
"Cesar",2006-12-31,2007-06-02,599,599,599,599
"Cesar",2006-12-31,2007-06-09,661,661,661,661
"Cesar",2006-12-31,2007-06-16,686,686,686,686
"Cesar",2006-12-31,2007-06-23,726,726,726,726
"Cesar",2006-12-31,2007-06-30,757,757,757,757
"Cesar",2006-12-31,2007-07-07,813,813,813,813
"Cesar",2006-12-31,2007-07-14,852,852,852,852
"Cesar",2006-12-31,2007-07-21,891,891,891,891
"Cesar",2006-12-31,2007-07-28,919,919,919,919
"Cesar",2006-12-31,2007-08-04,948,948,948,948
"Cesar",2006-12-31,2007-08-11,970,970,970,970
"Cesar",2006-12-31,2007-08-18,993,993,993,993
"Cesar",2006-12-31,2007-08-25,1021,1021,1021,1021
"Cesar",2006-12-31,2007-09-01,1041,1041,1041,1041
"Cesar",2006-12-31,2007-09-08,1056,1056,1056,1056
"Cesar",2006-12-31,2007-09-15,1080,1080,1080,1080
"Cesar",2006-12-31,2007-09-22,1112,1112,1112,1112
"Cesar",2006-12-31,2007-09-29,1133,1133,1133,1133
"Cesar",2006-12-31,2007-10-06,1164,1164,1164,1164
"Cesar",2006-12-31,2007-10-13,1179,1179,1179,1179
"Cesar",2006-12-31,2007-10-20,1190,1190,1190,1190
"Cesar",2006-12-31,2007-10-27,1224,1224,1224,1224
"Cesar",2006-12-31,2007-11-03,1236,1236,1236,1236
"Cesar",2006-12-31,2007-11-10,1262,1262,1262,1262
"Cesar",2006-12-31,2007-11-17,1278,1278,1278,1278
"Cesar",2006-12-31,2007-11-24,1287,1287,1287,1287
"Cesar",2006-12-31,2007-12-01,1312,1312,1312,1312
"Cesar",2006-12-31,2007-12-08,1339,1339,1339,1339
"Cesar",2006-12-31,2007-12-15,1358,1358,1358,1358
"Cesar",2006-12-31,2007-12-22,1371,1371,1371,1371
"Cesar",2006-12-31,2007-12-29,1384,1384,1384,1384
"Cesar",2006-12-31,2008-01-05,1405,1405,1405,1405
"Cesar",2006-12-31,2008-01-12,1424,1424,1424,1424
"Cesar",2006-12-31,2008-01-19,1449,1449,1449,1449
"Cesar",2006-12-31,2008-01-26,1475,1475,1475,1475
"Cesar",2006-12-31,2008-02-02,1498,1498,1498,1498
"Cesar",2006-12-31,2008-02-09,1516,1516,1516,1516
"Cesar",2006-12-31,2008-02-16,1538,1538,1538,1538
"Cesar",2006-12-31,2008-02-23,1559,1559,1559,1559
"Cesar",2006-12-31,2008-03-01,1584,1584,1584,1584
"Cesar",2006-12-31,2008-03-08,1606,1606,1606,1606
"Cesar",2006-12-31,2008-03-15,1619,1619,1619,1619
"Cesar",2006-12-31,2008-03-22,1636,1636,1636,1636
"Cesar",2006-12-31,2008-03-29,1657,1657,1657,1657
"Cesar",2006-12-31,2008-04-05,1681,1681,1681,1681
"Cesar",2006-12-31,2008-04-12,1704,1704,1704,1704
"Cesar",2006-12-31,2008-04-19,1721,1721,1721,1721
"Cesar",2006-12-31,2008-04-26,1742,1742,1742,1742
"Cesar",2006-12-31,2008-05-03,1751,1751,1751,1751
"Cesar",2006-12-31,2008-05-10,1771,1771,1771,1771
"Cesar",2006-12-31,2008-05-17,1785,1785,1785,1785
"Cesar",2006-12-31,2008-05-24,1806,1806,1806,1806
"Cesar",2006-12-31,2008-05-31,1817,1817,1817,1817
"Cesar",2006-12-31,2008-06-07,1829,1829,1829,1829
"Cesar",2006-12-31,2008-06-14,1843,1843,1843,1843
"Cesar",2006-12-31,2008-06-21,1862,1862,1862,1862
"Cesar",2006-12-31,2008-06-28,1875,1875,1875,1875
"Cesar",2006-12-31,2008-07-05,1894,1894,1894,1894
"Cesar",2006-12-31,2008-07-12,1909,1909,1909,1909
"Cesar",2006-12-31,2008-07-19,1921,1921,1921,1921
"Cesar",2006-12-31,2008-07-26,1934,1934,1934,1934
"Cesar",2006-12-31,2008-08-02,1956,1956,1956,1956
"Cesar",2006-12-31,2008-08-09,1970,1970,1970,1970
"Cesar",2006-12-31,2008-08-16,1981,1981,1981,1981
"Cesar",2006-12-31,2008-08-23,2000,2000,2000,2000
"Cesar",2006-12-31,2008-08-30,2013,2013,2013,2013
"Cesar",2006-12-31,2008-09-06,2030,2030,2030,2030
"Cesar",2006-12-31,2008-09-13,2050,2050,2050,2050
"Cesar",2006-12-31,2008-09-20,2073,2073,2073,2073
"Cesar",2006-12-31,2008-09-27,2088,2088,2088,2088
"Cesar",2006-12-31,2008-10-04,2104,2104,2104,2104
"Cesar",2006-12-31,2008-10-11,2120,2120,2120,2120
"Cesar",2006-12-31,2008-10-18,2143,2143,2143,2143
"Cesar",2006-12-31,2008-10-25,2163,2163,2163,2163
"Cesar",2006-12-31,2008-11-01,2180,2180,2180,2180
"Cesar",2006-12-31,2008-11-08,2198,2198,2198,2198
"Cesar",2006-12-31,2008-11-15,2220,2220,2220,2220
"Cesar",2006-12-31,2008-11-22,2233,2233,2233,2233
"Cesar",2006-12-31,2008-11-29,2248,2248,2248,2248
"Cesar",2006-12-31,2008-12-06,2265,2265,2265,2265
"Cesar",2006-12-31,2008-12-13,2274,2274,2274,2274
"Cesar",2006-12-31,2008-12-20,2292,2292,2292,2292
"Cesar",2006-12-31,2008-12-27,2303,2303,2303,2303
"Cesar",2006-12-31,2009-01-03,2314,2314,2314,2314
"Cesar",2006-12-31,2009-01-10,2328,2328,2328,2328
"Cesar",2006-12-31,2009-01-17,2338,2338,2338,2338
"Cesar",2006-12-31,2009-01-24,2344,2344,2344,2344
"Cesar",2006-12-31,2009-01-31,2355,2355,2355,2355
"Cesar",2006-12-31,2009-02-07,2368,2368,2368,2368
"Cesar",2006-12-31,2009-02-14,2373,2373,2373,2373
"Cesar",2006-12-31,2009-02-21,2382,2382,2382,2382
"Cesar",2006-12-31,2009-02-28,2388,2388,2388,2388
"Cesar",2006-12-31,2009-03-07,2391,2391,2391,2391
"Cesar",2006-12-31,2009-03-14,2393,2393,2393,2393
"Cesar",2006-12-31,2009-03-21,2398,2398,2398,2398
"Cesar",2006-12-31,2009-03-28,2403,2403,2403,2403
"Cesar",2006-12-31,2009-04-04,2404,2404,2404,2404
"Cesar",2006-12-31,2009-04-11,2404,2404,2404,2404
"Cesar",2006-12-31,2009-04-18,2410,2410,2410,2410
"Cesar",2006-12-31,2009-04-25,2413,2413,2413,2413
"Cesar",2006-12-31,2009-05-02,2419,2419,2419,2419
"Cesar",2006-12-31,2009-05-09,2421,2421,2421,2421
"Cesar",2006-12-31,2009-05-16,2426,2426,2426,2426
"Cesar",2006-12-31,2009-05-23,2431,2431,2431,2431
"Cesar",2006-12-31,2009-05-30,2436,2436,2436,2436
"Cesar",2006-12-31,2009-06-06,2439,2439,2439,2439
"Cesar",2006-12-31,2009-06-13,2450,2450,2450,2450
"Cesar",2006-12-31,2009-06-20,2452,2452,2452,2452
"Cesar",2006-12-31,2009-06-27,2454,2454,2454,2454
"Cesar",2006-12-31,2009-07-04,2466,2466,2466,2466
"Cesar",2006-12-31,2009-07-11,2477,2477,2477,2477
"Cesar",2006-12-31,2009-07-18,2492,2492,2492,2492
"Cesar",2006-12-31,2009-07-25,2509,2509,2509,2509
