"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Quindio",2006-12-31,2007-01-06,52,52,52,52
"Quindio",2006-12-31,2007-01-13,116,116,116,116
"Quindio",2006-12-31,2007-01-20,186,186,186,186
"Quindio",2006-12-31,2007-01-27,260,260,260,260
"Quindio",2006-12-31,2007-02-03,346,346,346,346
"Quindio",2006-12-31,2007-02-10,472,472,472,472
"Quindio",2006-12-31,2007-02-17,576,576,576,576
"Quindio",2006-12-31,2007-02-24,704,704,704,704
"Quindio",2006-12-31,2007-03-03,810,810,810,810
"Quindio",2006-12-31,2007-03-10,922,922,922,922
"Quindio",2006-12-31,2007-03-17,1036,1036,1036,1036
"Quindio",2006-12-31,2007-03-24,1108,1108,1108,1108
"Quindio",2006-12-31,2007-03-31,1186,1186,1186,1186
"Quindio",2006-12-31,2007-04-07,1246,1246,1246,1246
"Quindio",2006-12-31,2007-04-14,1330,1330,1330,1330
"Quindio",2006-12-31,2007-04-21,1416,1416,1416,1416
"Quindio",2006-12-31,2007-04-28,1496,1496,1496,1496
"Quindio",2006-12-31,2007-05-05,1562,1562,1562,1562
"Quindio",2006-12-31,2007-05-12,1642,1642,1642,1642
"Quindio",2006-12-31,2007-05-19,1736,1736,1736,1736
"Quindio",2006-12-31,2007-05-26,1804,1804,1804,1804
"Quindio",2006-12-31,2007-06-02,1864,1864,1864,1864
"Quindio",2006-12-31,2007-06-09,1930,1930,1930,1930
"Quindio",2006-12-31,2007-06-16,2000,2000,2000,2000
"Quindio",2006-12-31,2007-06-23,2094,2094,2094,2094
"Quindio",2006-12-31,2007-06-30,2148,2148,2148,2148
"Quindio",2006-12-31,2007-07-07,2242,2242,2242,2242
"Quindio",2006-12-31,2007-07-14,2356,2356,2356,2356
"Quindio",2006-12-31,2007-07-21,2492,2492,2492,2492
"Quindio",2006-12-31,2007-07-28,2588,2588,2588,2588
"Quindio",2006-12-31,2007-08-04,2690,2690,2690,2690
"Quindio",2006-12-31,2007-08-11,2750,2750,2750,2750
"Quindio",2006-12-31,2007-08-18,2860,2860,2860,2860
