"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Tolima",2006-12-31,2007-01-06,35,35,35,35
"Tolima",2006-12-31,2007-01-13,57,57,57,57
"Tolima",2006-12-31,2007-01-20,89,89,89,89
"Tolima",2006-12-31,2007-01-27,135,135,135,135
"Tolima",2006-12-31,2007-02-03,169,169,169,169
"Tolima",2006-12-31,2007-02-10,220,220,220,220
"Tolima",2006-12-31,2007-02-17,246,246,246,246
"Tolima",2006-12-31,2007-02-24,278,278,278,278
"Tolima",2006-12-31,2007-03-03,314,314,314,314
"Tolima",2006-12-31,2007-03-10,333,333,333,333
"Tolima",2006-12-31,2007-03-17,375,375,375,375
"Tolima",2006-12-31,2007-03-24,402,402,402,402
"Tolima",2006-12-31,2007-03-31,437,437,437,437
"Tolima",2006-12-31,2007-04-07,473,473,473,473
"Tolima",2006-12-31,2007-04-14,499,499,499,499
"Tolima",2006-12-31,2007-04-21,539,539,539,539
"Tolima",2006-12-31,2007-04-28,565,565,565,565
"Tolima",2006-12-31,2007-05-05,585,585,585,585
"Tolima",2006-12-31,2007-05-12,609,609,609,609
"Tolima",2006-12-31,2007-05-19,644,644,644,644
"Tolima",2006-12-31,2007-05-26,679,679,679,679
"Tolima",2006-12-31,2007-06-02,712,712,712,712
"Tolima",2006-12-31,2007-06-09,735,735,735,735
"Tolima",2006-12-31,2007-06-16,771,771,771,771
"Tolima",2006-12-31,2007-06-23,810,810,810,810
"Tolima",2006-12-31,2007-06-30,860,860,860,860
"Tolima",2006-12-31,2007-07-07,906,906,906,906
"Tolima",2006-12-31,2007-07-14,953,953,953,953
"Tolima",2006-12-31,2007-07-21,991,991,991,991
"Tolima",2006-12-31,2007-07-28,1054,1054,1054,1054
"Tolima",2006-12-31,2007-08-04,1105,1105,1105,1105
"Tolima",2006-12-31,2007-08-11,1142,1142,1142,1142
"Tolima",2006-12-31,2007-08-18,1171,1171,1171,1171
