"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Ceara",2016-01-01,2016-01-09,48,48,0,24
"Ceara",2016-01-01,2016-01-16,209,209,99,154
"Ceara",2016-01-01,2016-01-23,222,222,112,167
"Ceara",2016-01-01,2016-01-30,241,241,131,186
"Ceara",2016-01-01,2016-02-06,265,265,155,210
"Ceara",2016-01-01,2016-02-13,267,267,157,212
"Ceara",2016-01-01,2016-02-20,289,267,179,223
"Ceara",2016-01-01,2016-02-27,304,267,194,230.5
"Ceara",2016-01-01,2016-03-05,293,267,194,230.5
"Ceara",2016-01-01,2016-03-12,312,267,213,240
"Ceara",2016-01-01,2016-03-19,317,267,218,242.5
"Ceara",2016-01-01,2016-03-26,313,267,218,242.5
"Ceara",2016-01-01,2016-04-02,323,267,228,247.5
"Ceara",2016-01-01,2016-04-09,334,267,239,253
"Ceara",2016-01-01,2016-04-16,335,267,240,253.5
"Ceara",2016-01-01,2016-04-23,322,267,240,253.5
"Ceara",2016-01-01,2016-04-30,325,267,243,255
"Ceara",2016-01-01,2016-05-07,321,267,243,255
"Ceara",2016-01-01,2016-05-14,317,267,243,255
"Ceara",2016-01-01,2016-05-21,312,267,243,255
"Ceara",2016-01-01,2016-05-28,296,267,243,255
"Ceara",2016-01-01,2016-06-04,298,267,245,256
"Ceara",2016-01-01,2016-06-11,300,267,247,257
"Ceara",2016-01-01,2016-06-18,300,267,247,257
"Ceara",2016-01-01,2016-06-25,303,267,250,258.5
"Ceara",2016-01-01,2016-07-02,300,267,250,258.5
"Ceara",2016-01-01,2016-07-09,300,267,250,258.5
"Ceara",2016-01-01,2016-07-16,297,267,250,258.5
"Ceara",2016-01-01,2016-07-23,288,267,250,258.5
"Ceara",2016-01-01,2016-07-30,292,267,254,260.5
"Ceara",2016-01-01,2016-08-06,287,267,254,260.5
"Ceara",2016-01-01,2016-08-13,294,267,261,264
"Ceara",2016-01-01,2016-08-20,294,267,261,264
"Ceara",2016-01-01,2016-08-27,294,267,261,264
"Ceara",2016-01-01,2016-09-03,293,267,261,264
"Ceara",2016-01-01,2016-09-10,292,267,261,264
"Ceara",2016-01-01,2016-09-17,297,267,266,266.5
"Ceara",2016-01-01,2016-09-24,284,267,266,266.5
"Ceara",2016-01-01,2016-10-01,273,267,266,266.5
"Ceara",2016-01-01,2016-10-08,267,267,266,266.5
"Ceara",2016-01-01,2016-10-15,273,272,272,272
"Ceara",2016-01-01,2016-10-22,273,272,272,272
"Ceara",2016-01-01,2016-10-29,272,272,272,272
"Ceara",2016-01-01,2016-11-05,274,274,274,274
"Ceara",2016-01-01,2016-11-12,282,282,282,282
"Ceara",2016-01-01,2016-11-19,284,284,284,284
"Ceara",2016-01-01,2016-11-26,286,286,286,286
"Ceara",2016-01-01,2016-12-03,290,290,290,290
"Ceara",2016-01-01,2016-12-17,292,292,292,292
"Ceara",2016-01-01,2016-12-31,305,305,305,305
