"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Paraiba",2016-01-01,2016-01-09,104,104,0,52
"Paraiba",2016-01-01,2016-01-16,617,354,298,326
"Paraiba",2016-01-01,2016-01-23,528,354,298,326
"Paraiba",2016-01-01,2016-01-30,497,354,298,326
"Paraiba",2016-01-01,2016-02-06,481,354,298,326
"Paraiba",2016-01-01,2016-02-13,479,354,298,326
"Paraiba",2016-01-01,2016-02-20,499,354,318,336
"Paraiba",2016-01-01,2016-02-27,504,354,323,338.5
"Paraiba",2016-01-01,2016-03-05,518,354,337,345.5
"Paraiba",2016-01-01,2016-03-12,506,354,337,345.5
"Paraiba",2016-01-01,2016-03-19,508,354,339,346.5
"Paraiba",2016-01-01,2016-03-26,507,354,339,346.5
"Paraiba",2016-01-01,2016-04-02,489,354,339,346.5
"Paraiba",2016-01-01,2016-04-09,493,354,343,348.5
"Paraiba",2016-01-01,2016-04-16,498,354,348,351
"Paraiba",2016-01-01,2016-04-23,494,354,348,351
"Paraiba",2016-01-01,2016-04-30,494,354,348,351
"Paraiba",2016-01-01,2016-05-07,463,354,348,351
"Paraiba",2016-01-01,2016-05-14,463,354,348,351
"Paraiba",2016-01-01,2016-05-21,442,354,348,351
"Paraiba",2016-01-01,2016-05-28,440,354,348,351
"Paraiba",2016-01-01,2016-06-04,436,354,348,351
"Paraiba",2016-01-01,2016-06-11,436,354,348,351
"Paraiba",2016-01-01,2016-06-18,430,354,348,351
"Paraiba",2016-01-01,2016-06-25,417,354,348,351
"Paraiba",2016-01-01,2016-07-02,410,354,348,351
"Paraiba",2016-01-01,2016-07-09,406,354,348,351
"Paraiba",2016-01-01,2016-07-16,407,354,349,351.5
"Paraiba",2016-01-01,2016-07-23,404,354,349,351.5
"Paraiba",2016-01-01,2016-07-30,403,354,349,351.5
"Paraiba",2016-01-01,2016-08-06,370,354,349,351.5
"Paraiba",2016-01-01,2016-08-13,371,354,350,352
"Paraiba",2016-01-01,2016-08-20,371,354,350,352
"Paraiba",2016-01-01,2016-08-27,361,354,350,352
"Paraiba",2016-01-01,2016-09-03,361,354,350,352
"Paraiba",2016-01-01,2016-09-10,358,354,350,352
"Paraiba",2016-01-01,2016-09-17,357,354,350,352
"Paraiba",2016-01-01,2016-09-24,354,354,350,352
"Paraiba",2016-01-01,2016-10-01,354,354,350,352
"Paraiba",2016-01-01,2016-10-08,365,363,361,362
"Paraiba",2016-01-01,2016-10-15,367,363,363,363
"Paraiba",2016-01-01,2016-10-22,366,363,363,363
"Paraiba",2016-01-01,2016-10-29,364,363,363,363
"Paraiba",2016-01-01,2016-11-05,363,363,363,363
"Paraiba",2016-01-01,2016-11-12,366,366,366,366
"Paraiba",2016-01-01,2016-11-19,367,367,367,367
"Paraiba",2016-01-01,2016-11-26,367,367,367,367
"Paraiba",2016-01-01,2016-12-03,368,368,368,368
"Paraiba",2016-01-01,2016-12-17,369,369,369,369
"Paraiba",2016-01-01,2016-12-31,374,374,374,374
