"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Parana",2016-01-01,2016-01-23,2,1,0,0.5
"Parana",2016-01-01,2016-01-30,1,1,0,0.5
"Parana",2016-01-01,2016-02-06,1,1,0,0.5
"Parana",2016-01-01,2016-02-13,1,1,0,0.5
"Parana",2016-01-01,2016-02-20,2,2,0,1
"Parana",2016-01-01,2016-02-27,3,2,0,1
"Parana",2016-01-01,2016-03-05,2,2,0,1
"Parana",2016-01-01,2016-03-12,5,4,0,2
"Parana",2016-01-01,2016-03-19,4,4,0,2
"Parana",2016-01-01,2016-03-26,5,4,0,2
"Parana",2016-01-01,2016-04-02,6,4,0,2
"Parana",2016-01-01,2016-04-09,8,4,0,2
"Parana",2016-01-01,2016-04-16,8,4,0,2
"Parana",2016-01-01,2016-04-23,8,4,0,2
"Parana",2016-01-01,2016-04-30,9,4,0,2
"Parana",2016-01-01,2016-05-07,8,4,0,2
"Parana",2016-01-01,2016-05-14,10,4,2,3
"Parana",2016-01-01,2016-05-21,10,4,2,3
"Parana",2016-01-01,2016-05-28,10,4,2,3
"Parana",2016-01-01,2016-06-04,7,4,2,3
"Parana",2016-01-01,2016-06-11,7,4,2,3
"Parana",2016-01-01,2016-06-18,7,4,2,3
"Parana",2016-01-01,2016-06-25,7,4,2,3
"Parana",2016-01-01,2016-07-02,6,4,2,3
"Parana",2016-01-01,2016-07-09,6,4,2,3
"Parana",2016-01-01,2016-07-16,4,4,2,3
"Parana",2016-01-01,2016-07-23,4,4,2,3
"Parana",2016-01-01,2016-07-30,4,4,2,3
"Parana",2016-01-01,2016-08-06,4,4,2,3
"Parana",2016-01-01,2016-08-13,4,4,2,3
"Parana",2016-01-01,2016-08-20,4,4,2,3
"Parana",2016-01-01,2016-08-27,6,6,4,5
"Parana",2016-01-01,2016-09-03,8,8,6,7
"Parana",2016-01-01,2016-09-10,8,8,6,7
"Parana",2016-01-01,2016-09-17,9,9,7,8
"Parana",2016-01-01,2016-09-24,10,9,8,8.5
"Parana",2016-01-01,2016-10-01,10,9,8,8.5
"Parana",2016-01-01,2016-10-08,10,9,8,8.5
"Parana",2016-01-01,2016-10-15,10,9,8,8.5
"Parana",2016-01-01,2016-10-22,10,9,8,8.5
"Parana",2016-01-01,2016-10-29,9,9,8,8.5
"Parana",2016-01-01,2016-11-05,9,9,8,8.5
"Parana",2016-01-01,2016-11-12,9,9,8,8.5
"Parana",2016-01-01,2016-11-19,9,9,8,8.5
"Parana",2016-01-01,2016-11-26,9,9,8,8.5
"Parana",2016-01-01,2016-12-03,9,9,8,8.5
"Parana",2016-01-01,2016-12-17,12,11,11,11
"Parana",2016-01-01,2016-12-31,11,11,11,11
