"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Pernambuco",2016-01-03,2016-01-30,98,98,72,85
"Pernambuco",2016-01-03,2016-02-20,181,181,155,168
"Pernambuco",2016-01-03,2016-03-12,292,292,266,279
"Pernambuco",2016-01-03,2016-03-26,321,321,295,308
"Pernambuco",2016-01-03,2016-04-16,338,338,312,325
"Pernambuco",2016-01-03,2016-05-14,347,347,321,334
"Pernambuco",2016-01-03,2016-06-25,399,373,373,373
"Pernambuco",2016-01-03,2016-08-06,373,373,373,373
"Pernambuco",2016-01-03,2016-08-20,420,420,420,420
"Pernambuco",2016-01-03,2016-09-03,423,423,423,423
"Pernambuco",2016-01-03,2016-10-01,426,426,426,426
"Pernambuco",2016-01-03,2016-10-15,429,429,429,429
"Pernambuco",2016-01-03,2016-10-29,434,434,434,434
"Pernambuco",2016-01-03,2016-11-12,434,434,434,434
"Pernambuco",2016-01-03,2016-11-19,434,434,434,434
"Pernambuco",2016-01-03,2016-11-26,436,436,436,436
"Pernambuco",2016-01-03,2016-12-03,438,438,438,438
"Pernambuco",2016-01-03,2016-12-10,441,441,441,441
"Pernambuco",2016-01-03,2016-12-17,442,442,442,442
"Pernambuco",2016-01-03,2016-12-24,444,444,444,444
"Pernambuco",2016-01-03,2016-12-31,445,445,445,445
"Pernambuco",2016-01-03,2017-01-21,448,448,445,446.5
"Pernambuco",2016-01-03,2017-02-04,448,448,445,446.5
"Pernambuco",2016-01-03,2017-02-11,448,448,445,446.5
"Pernambuco",2016-01-03,2017-02-18,455,455,445,450
"Pernambuco",2016-01-03,2017-02-25,455,455,445,450
"Pernambuco",2016-01-03,2017-03-04,455,455,445,450
"Pernambuco",2016-01-03,2017-03-11,457,457,445,451
"Pernambuco",2016-01-03,2017-03-18,458,458,445,451.5
"Pernambuco",2016-01-03,2017-03-25,460,460,445,452.5
"Pernambuco",2016-01-03,2017-04-01,460,460,445,452.5
"Pernambuco",2016-01-03,2017-04-08,460,460,445,452.5
"Pernambuco",2016-01-03,2017-04-15,460,460,445,452.5
"Pernambuco",2016-01-03,2017-04-22,461,461,445,453
"Pernambuco",2016-01-03,2017-04-29,462,462,445,453.5
"Pernambuco",2016-01-03,2017-05-13,462,462,445,453.5
"Pernambuco",2016-01-03,2017-05-27,462,462,445,453.5
"Pernambuco",2016-01-03,2017-06-10,463,463,445,454
"Pernambuco",2016-01-03,2017-06-24,463,463,445,454
"Pernambuco",2016-01-03,2017-07-15,464,464,445,454.5
"Pernambuco",2016-01-03,2017-07-29,464,464,445,454.5
"Pernambuco",2016-01-03,2017-08-12,465,465,445,455
"Pernambuco",2016-01-03,2017-08-26,468,468,445,456.5
"Pernambuco",2016-01-03,2017-09-09,468,468,445,456.5
"Pernambuco",2016-01-03,2017-09-23,468,468,445,456.5
"Pernambuco",2016-01-03,2017-10-14,470,470,445,457.5
"Pernambuco",2016-01-03,2017-10-21,470,470,445,457.5
"Pernambuco",2016-01-03,2017-10-28,502,478,474,476
"Pernambuco",2016-01-03,2017-11-11,500,478,474,476
"Pernambuco",2016-01-03,2017-11-18,500,478,474,476
"Pernambuco",2016-01-03,2017-11-25,500,478,474,476
"Pernambuco",2016-01-03,2017-12-02,500,478,474,476
"Pernambuco",2016-01-03,2017-12-09,502,478,476,477
"Pernambuco",2016-01-03,2017-12-16,504,478,478,478
"Pernambuco",2016-01-03,2017-12-23,478,478,478,478
"Pernambuco",2016-01-03,2017-12-30,484,484,484,484
"Pernambuco",2016-01-03,2018-01-20,489,488,487,487.5
"Pernambuco",2016-01-03,2018-02-03,488,488,487,487.5
"Pernambuco",2016-01-03,2018-02-10,488,488,487,487.5
"Pernambuco",2016-01-03,2018-02-17,494,494,493,493.5
"Pernambuco",2016-01-03,2018-02-24,494,494,493,493.5
"Pernambuco",2016-01-03,2018-03-03,494,494,493,493.5
"Pernambuco",2016-01-03,2018-03-10,500,500,499,499.5
"Pernambuco",2016-01-03,2018-03-17,503,502,502,502
"Pernambuco",2016-01-03,2018-03-24,502,502,502,502
"Pernambuco",2016-01-03,2018-03-31,504,504,504,504
"Pernambuco",2016-01-03,2018-04-07,504,504,504,504
"Pernambuco",2016-01-03,2018-04-14,504,504,504,504
"Pernambuco",2016-01-03,2018-04-21,504,504,504,504
"Pernambuco",2016-01-03,2018-04-28,508,508,508,508
"Pernambuco",2016-01-03,2018-05-12,530,530,530,530
"Pernambuco",2016-01-03,2018-05-26,531,531,531,531
"Pernambuco",2016-01-03,2018-06-09,543,543,543,543
"Pernambuco",2016-01-03,2018-06-23,546,546,546,546
"Pernambuco",2016-01-03,2018-07-14,570,570,570,570
