"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Roraima",2016-01-03,2016-01-30,1,1,1,1
"Roraima",2016-01-03,2016-02-20,5,5,5,5
"Roraima",2016-01-03,2016-03-12,28,28,28,28
"Roraima",2016-01-03,2016-03-26,36,36,36,36
"Roraima",2016-01-03,2016-04-16,45,45,45,45
"Roraima",2016-01-03,2016-05-14,57,57,57,57
"Roraima",2016-01-03,2016-06-25,73,73,73,73
"Roraima",2016-01-03,2016-08-06,108,108,108,108
"Roraima",2016-01-03,2016-08-20,113,113,113,113
"Roraima",2016-01-03,2016-09-03,120,120,120,120
"Roraima",2016-01-03,2016-10-01,126,126,126,126
"Roraima",2016-01-03,2016-10-15,132,132,132,132
"Roraima",2016-01-03,2016-10-29,145,145,145,145
"Roraima",2016-01-03,2016-11-12,151,151,151,151
"Roraima",2016-01-03,2016-11-19,156,156,156,156
"Roraima",2016-01-03,2016-11-26,157,157,157,157
"Roraima",2016-01-03,2016-12-03,162,162,162,162
"Roraima",2016-01-03,2016-12-10,162,162,162,162
"Roraima",2016-01-03,2016-12-17,166,166,166,166
"Roraima",2016-01-03,2016-12-24,168,168,168,168
"Roraima",2016-01-03,2016-12-31,169,169,169,169
"Roraima",2016-01-03,2017-01-21,174,174,169,171.5
"Roraima",2016-01-03,2017-02-04,178,178,169,173.5
"Roraima",2016-01-03,2017-02-11,178,178,169,173.5
"Roraima",2016-01-03,2017-02-18,190,190,169,179.5
"Roraima",2016-01-03,2017-02-25,190,190,169,179.5
"Roraima",2016-01-03,2017-03-04,190,190,169,179.5
"Roraima",2016-01-03,2017-03-11,216,216,180,198
"Roraima",2016-01-03,2017-03-18,226,226,190,208
"Roraima",2016-01-03,2017-03-25,242,242,206,224
"Roraima",2016-01-03,2017-04-01,253,253,217,235
"Roraima",2016-01-03,2017-04-08,262,262,226,244
"Roraima",2016-01-03,2017-04-15,262,262,226,244
"Roraima",2016-01-03,2017-04-22,278,278,242,260
"Roraima",2016-01-03,2017-04-29,282,282,246,264
"Roraima",2016-01-03,2017-05-13,287,287,251,269
"Roraima",2016-01-03,2017-05-27,292,292,256,274
"Roraima",2016-01-03,2017-06-10,312,312,276,294
"Roraima",2016-01-03,2017-06-24,323,323,287,305
"Roraima",2016-01-03,2017-07-15,343,343,307,325
"Roraima",2016-01-03,2017-07-29,353,353,317,335
"Roraima",2016-01-03,2017-08-12,362,362,326,344
"Roraima",2016-01-03,2017-08-26,365,365,329,347
"Roraima",2016-01-03,2017-09-09,365,365,329,347
"Roraima",2016-01-03,2017-09-23,366,366,330,348
"Roraima",2016-01-03,2017-10-14,368,368,332,350
"Roraima",2016-01-03,2017-10-21,369,369,333,351
"Roraima",2016-01-03,2017-10-28,401,372,365,368.5
"Roraima",2016-01-03,2017-11-11,392,372,365,368.5
"Roraima",2016-01-03,2017-11-18,397,372,370,371
"Roraima",2016-01-03,2017-11-25,397,372,370,371
"Roraima",2016-01-03,2017-12-02,398,372,371,371.5
"Roraima",2016-01-03,2017-12-09,398,372,371,371.5
"Roraima",2016-01-03,2017-12-16,375,372,371,371.5
"Roraima",2016-01-03,2017-12-23,376,372,372,372
"Roraima",2016-01-03,2017-12-30,372,372,372,372
"Roraima",2016-01-03,2018-01-20,372,372,372,372
"Roraima",2016-01-03,2018-02-03,373,373,372,372.5
"Roraima",2016-01-03,2018-02-10,373,373,372,372.5
"Roraima",2016-01-03,2018-02-17,374,374,372,373
"Roraima",2016-01-03,2018-02-24,374,374,372,373
"Roraima",2016-01-03,2018-03-03,374,374,372,373
"Roraima",2016-01-03,2018-03-10,378,378,376,377
"Roraima",2016-01-03,2018-03-17,378,378,376,377
"Roraima",2016-01-03,2018-03-24,378,378,376,377
"Roraima",2016-01-03,2018-03-31,380,380,378,379
"Roraima",2016-01-03,2018-04-07,380,380,378,379
"Roraima",2016-01-03,2018-04-14,380,380,378,379
"Roraima",2016-01-03,2018-04-21,382,382,380,381
"Roraima",2016-01-03,2018-04-28,382,382,380,381
"Roraima",2016-01-03,2018-05-12,384,384,382,383
"Roraima",2016-01-03,2018-05-26,388,387,386,386.5
"Roraima",2016-01-03,2018-06-09,389,387,387,387
"Roraima",2016-01-03,2018-06-23,388,387,387,387
"Roraima",2016-01-03,2018-07-14,387,387,387,387
