"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Arauca",2015-08-09,2015-11-14,4,4,0,2
"Arauca",2015-08-09,2015-11-21,4,4,0,2
"Arauca",2015-08-09,2015-12-05,5,5,0,2.5
"Arauca",2015-08-09,2015-12-12,10,8,0,4
"Arauca",2015-08-09,2015-12-19,8,8,0,4
"Arauca",2015-08-09,2015-12-26,12,12,2,7
"Arauca",2015-08-09,2016-01-02,13,13,3,8
"Arauca",2015-08-09,2016-01-09,17,17,7,12
"Arauca",2015-08-09,2016-01-16,25,25,15,20
"Arauca",2015-08-09,2016-01-23,38,38,28,33
"Arauca",2015-08-09,2016-01-30,60,60,50,55
"Arauca",2015-08-09,2016-02-06,105,105,95,100
"Arauca",2015-08-09,2016-02-13,151,151,141,146
"Arauca",2015-08-09,2016-02-20,203,203,193,198
"Arauca",2015-08-09,2016-02-27,284,284,274,279
"Arauca",2015-08-09,2016-03-05,353,353,343,348
"Arauca",2015-08-09,2016-03-12,422,422,412,417
"Arauca",2015-08-09,2016-03-19,517,517,507,512
"Arauca",2015-08-09,2016-03-26,569,569,559,564
"Arauca",2015-08-09,2016-04-02,699,699,689,694
"Arauca",2015-08-09,2016-04-09,836,836,826,831
"Arauca",2015-08-09,2016-04-16,940,940,930,935
"Arauca",2015-08-09,2016-04-23,1056,1056,1046,1051
"Arauca",2015-08-09,2016-04-30,1155,1155,1145,1150
"Arauca",2015-08-09,2016-05-07,1243,1243,1233,1238
"Arauca",2015-08-09,2016-05-14,1335,1335,1325,1330
"Arauca",2015-08-09,2016-05-21,1432,1432,1422,1427
"Arauca",2015-08-09,2016-05-28,1497,1497,1487,1492
"Arauca",2015-08-09,2016-06-04,1557,1557,1547,1552
"Arauca",2015-08-09,2016-06-11,1632,1632,1622,1627
"Arauca",2015-08-09,2016-06-18,1689,1689,1679,1684
"Arauca",2015-08-09,2016-06-25,1715,1715,1705,1710
"Arauca",2015-08-09,2016-07-02,1736,1736,1726,1731
"Arauca",2015-08-09,2016-07-09,1766,1766,1756,1761
"Arauca",2015-08-09,2016-07-16,1786,1786,1776,1781
"Arauca",2015-08-09,2016-07-23,1802,1802,1792,1797
"Arauca",2015-08-09,2016-07-30,1820,1820,1810,1815
"Arauca",2015-08-09,2016-08-06,1826,1826,1816,1821
"Arauca",2015-08-09,2016-08-13,1830,1830,1820,1825
"Arauca",2015-08-09,2016-08-20,1833,1833,1823,1828
"Arauca",2015-08-09,2016-08-27,1838,1838,1828,1833
"Arauca",2015-08-09,2016-09-03,1840,1840,1830,1835
"Arauca",2015-08-09,2016-09-10,1851,1847,1841,1844
"Arauca",2015-08-09,2016-09-17,1855,1847,1845,1846
"Arauca",2015-08-09,2016-09-24,1854,1847,1845,1846
"Arauca",2015-08-09,2016-10-01,1847,1847,1845,1846
"Arauca",2015-08-09,2016-10-08,1848,1848,1846,1847
"Arauca",2015-08-09,2016-10-15,1850,1850,1848,1849
"Arauca",2015-08-09,2016-10-22,1853,1853,1851,1852
"Arauca",2015-08-09,2016-10-29,1863,1863,1861,1862
"Arauca",2015-08-09,2016-11-05,1865,1865,1863,1864
"Arauca",2015-08-09,2016-11-12,1866,1866,1864,1865
"Arauca",2015-08-09,2016-11-19,1869,1869,1867,1868
"Arauca",2015-08-09,2016-11-26,1874,1874,1872,1873
"Arauca",2015-08-09,2016-12-03,1874,1874,1872,1873
"Arauca",2015-08-09,2016-12-10,1876,1874,1874,1874
"Arauca",2015-08-09,2016-12-17,1874,1874,1874,1874
"Arauca",2015-08-09,2016-12-24,1879,1879,1879,1879
"Arauca",2015-08-09,2016-12-31,1880,1880,1880,1880
"Arauca",2015-08-09,2017-01-07,1881,1881,1880,1880.5
"Arauca",2015-08-09,2017-01-14,1881,1881,1880,1880.5
"Arauca",2015-08-09,2017-01-21,1881,1881,1880,1880.5
"Arauca",2015-08-09,2017-01-28,1882,1882,1880,1881
"Arauca",2015-08-09,2017-02-04,1882,1882,1880,1881
"Arauca",2015-08-09,2017-02-11,1882,1882,1880,1881
"Arauca",2015-08-09,2017-02-18,1882,1882,1880,1881
"Arauca",2015-08-09,2017-02-25,1883,1883,1880,1881.5
"Arauca",2015-08-09,2017-03-04,1885,1885,1881,1883
"Arauca",2015-08-09,2017-03-11,1885,1885,1881,1883
"Arauca",2015-08-09,2017-03-18,1885,1885,1881,1883
"Arauca",2015-08-09,2017-03-25,1885,1885,1881,1883
"Arauca",2015-08-09,2017-04-01,1885,1885,1881,1883
"Arauca",2015-08-09,2017-04-08,1885,1885,1881,1883
"Arauca",2015-08-09,2017-04-15,1886,1885,1882,1883.5
"Arauca",2015-08-09,2017-04-22,1885,1885,1882,1883.5
"Arauca",2015-08-09,2017-04-29,1886,1886,1883,1884.5
"Arauca",2015-08-09,2017-05-06,1887,1887,1884,1885.5
"Arauca",2015-08-09,2017-05-13,1888,1888,1885,1886.5
"Arauca",2015-08-09,2017-05-20,1889,1889,1886,1887.5
"Arauca",2015-08-09,2017-05-27,1890,1889,1887,1888
"Arauca",2015-08-09,2017-06-03,1891,1889,1888,1888.5
"Arauca",2015-08-09,2017-06-10,1889,1889,1888,1888.5
"Arauca",2015-08-09,2017-06-17,1889,1889,1888,1888.5
"Arauca",2015-08-09,2017-06-24,1890,1890,1889,1889.5
"Arauca",2015-08-09,2017-07-01,1890,1890,1889,1889.5
"Arauca",2015-08-09,2017-07-08,1890,1890,1889,1889.5
"Arauca",2015-08-09,2017-07-15,1890,1890,1889,1889.5
"Arauca",2015-08-09,2017-07-22,1890,1890,1889,1889.5
"Arauca",2015-08-09,2017-07-29,1890,1890,1889,1889.5
"Arauca",2015-08-09,2017-08-05,1891,1890,1890,1890
"Arauca",2015-08-09,2017-08-12,1891,1890,1890,1890
"Arauca",2015-08-09,2017-08-19,1891,1890,1890,1890
"Arauca",2015-08-09,2017-08-26,1891,1890,1890,1890
"Arauca",2015-08-09,2017-09-02,1890,1890,1890,1890
"Arauca",2015-08-09,2017-09-09,1890,1890,1890,1890
"Arauca",2015-08-09,2017-09-16,1891,1891,1891,1891
"Arauca",2015-08-09,2017-09-23,1891,1891,1891,1891
"Arauca",2015-08-09,2017-09-30,1891,1891,1891,1891
"Arauca",2015-08-09,2017-10-07,1891,1891,1891,1891
"Arauca",2015-08-09,2017-10-14,1891,1891,1891,1891
"Arauca",2015-08-09,2017-10-21,1892,1892,1892,1892
"Arauca",2015-08-09,2017-10-28,1892,1892,1892,1892
"Arauca",2015-08-09,2017-11-04,1894,1894,1894,1894
"Arauca",2015-08-09,2017-11-11,1894,1894,1894,1894
"Arauca",2015-08-09,2017-11-18,1894,1894,1894,1894
"Arauca",2015-08-09,2017-11-25,1894,1894,1894,1894
"Arauca",2015-08-09,2017-12-02,1894,1894,1894,1894
"Arauca",2015-08-09,2017-12-09,1894,1894,1894,1894
"Arauca",2015-08-09,2017-12-16,1894,1894,1894,1894
"Arauca",2015-08-09,2017-12-23,1894,1894,1894,1894
"Arauca",2015-08-09,2017-12-30,1894,1894,1894,1894
