"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Cartagena",2015-08-09,2015-11-14,376,376,376,376
"Cartagena",2015-08-09,2015-11-21,453,453,453,453
"Cartagena",2015-08-09,2015-12-05,546,546,546,546
"Cartagena",2015-08-09,2015-12-12,593,593,593,593
"Cartagena",2015-08-09,2015-12-19,641,641,641,641
"Cartagena",2015-08-09,2015-12-26,646,646,646,646
"Cartagena",2015-08-09,2016-01-02,664,664,664,664
"Cartagena",2015-08-09,2016-01-09,674,674,674,674
"Cartagena",2015-08-09,2016-01-16,695,695,695,695
"Cartagena",2015-08-09,2016-01-23,720,720,720,720
"Cartagena",2015-08-09,2016-01-30,767,767,767,767
"Cartagena",2015-08-09,2016-02-06,787,787,787,787
"Cartagena",2015-08-09,2016-02-13,840,840,840,840
"Cartagena",2015-08-09,2016-02-20,863,863,863,863
"Cartagena",2015-08-09,2016-02-27,887,887,887,887
"Cartagena",2015-08-09,2016-03-05,900,900,900,900
"Cartagena",2015-08-09,2016-03-12,907,907,907,907
"Cartagena",2015-08-09,2016-03-19,916,916,916,916
"Cartagena",2015-08-09,2016-03-26,924,924,924,924
"Cartagena",2015-08-09,2016-04-02,932,932,932,932
"Cartagena",2015-08-09,2016-04-09,934,934,934,934
"Cartagena",2015-08-09,2016-04-16,935,935,935,935
"Cartagena",2015-08-09,2016-04-23,937,937,937,937
"Cartagena",2015-08-09,2016-04-30,940,940,940,940
"Cartagena",2015-08-09,2016-05-07,942,942,942,942
"Cartagena",2015-08-09,2016-05-14,951,951,951,951
"Cartagena",2015-08-09,2016-05-21,969,969,969,969
"Cartagena",2015-08-09,2016-05-28,969,969,969,969
"Cartagena",2015-08-09,2016-06-04,977,977,977,977
"Cartagena",2015-08-09,2016-06-11,982,982,982,982
"Cartagena",2015-08-09,2016-06-18,989,989,989,989
"Cartagena",2015-08-09,2016-06-25,998,998,998,998
"Cartagena",2015-08-09,2016-07-02,1000,1000,1000,1000
"Cartagena",2015-08-09,2016-07-09,1004,1004,1004,1004
"Cartagena",2015-08-09,2016-07-16,1007,1007,1007,1007
"Cartagena",2015-08-09,2016-07-23,1012,1012,1012,1012
"Cartagena",2015-08-09,2016-07-30,1012,1012,1012,1012
"Cartagena",2015-08-09,2016-08-06,1015,1015,1015,1015
"Cartagena",2015-08-09,2016-08-13,1015,1015,1015,1015
"Cartagena",2015-08-09,2016-08-20,1017,1017,1017,1017
"Cartagena",2015-08-09,2016-08-27,1019,1019,1019,1019
"Cartagena",2015-08-09,2016-09-03,1022,1022,1022,1022
"Cartagena",2015-08-09,2016-09-10,1027,1027,1027,1027
"Cartagena",2015-08-09,2016-09-17,1030,1030,1030,1030
"Cartagena",2015-08-09,2016-09-24,1032,1032,1032,1032
"Cartagena",2015-08-09,2016-10-01,1032,1032,1032,1032
"Cartagena",2015-08-09,2016-10-08,1033,1033,1033,1033
"Cartagena",2015-08-09,2016-10-15,1033,1033,1033,1033
"Cartagena",2015-08-09,2016-10-22,1034,1034,1034,1034
"Cartagena",2015-08-09,2016-10-29,1035,1035,1035,1035
"Cartagena",2015-08-09,2016-11-05,1035,1035,1035,1035
"Cartagena",2015-08-09,2016-11-12,1037,1037,1037,1037
"Cartagena",2015-08-09,2016-11-19,1037,1037,1037,1037
"Cartagena",2015-08-09,2016-11-26,1039,1039,1039,1039
"Cartagena",2015-08-09,2016-12-03,1040,1040,1040,1040
"Cartagena",2015-08-09,2016-12-10,1040,1040,1040,1040
"Cartagena",2015-08-09,2016-12-17,1048,1048,1048,1048
