"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Cundinamarca",2015-08-09,2015-11-14,313,313,290,301.5
"Cundinamarca",2015-08-09,2015-11-21,594,594,571,582.5
"Cundinamarca",2015-08-09,2015-12-05,1181,1181,1158,1169.5
"Cundinamarca",2015-08-09,2015-12-12,1457,1457,1434,1445.5
"Cundinamarca",2015-08-09,2015-12-19,1597,1578,1574,1576
"Cundinamarca",2015-08-09,2015-12-26,1578,1578,1574,1576
"Cundinamarca",2015-08-09,2016-01-02,1719,1719,1715,1717
"Cundinamarca",2015-08-09,2016-01-09,1824,1824,1820,1822
"Cundinamarca",2015-08-09,2016-01-16,2018,2018,2014,2016
"Cundinamarca",2015-08-09,2016-01-23,2246,2246,2242,2244
"Cundinamarca",2015-08-09,2016-01-30,2591,2591,2587,2589
"Cundinamarca",2015-08-09,2016-02-06,2883,2883,2879,2881
"Cundinamarca",2015-08-09,2016-02-13,3166,3166,3162,3164
"Cundinamarca",2015-08-09,2016-02-20,3397,3397,3393,3395
"Cundinamarca",2015-08-09,2016-02-27,3611,3611,3607,3609
"Cundinamarca",2015-08-09,2016-03-05,3778,3778,3774,3776
"Cundinamarca",2015-08-09,2016-03-12,3976,3976,3972,3974
"Cundinamarca",2015-08-09,2016-03-19,4118,4118,4114,4116
"Cundinamarca",2015-08-09,2016-03-26,4200,4200,4196,4198
"Cundinamarca",2015-08-09,2016-04-02,4366,4366,4362,4364
"Cundinamarca",2015-08-09,2016-04-09,4522,4522,4518,4520
"Cundinamarca",2015-08-09,2016-04-16,4635,4635,4631,4633
"Cundinamarca",2015-08-09,2016-04-23,4712,4712,4708,4710
"Cundinamarca",2015-08-09,2016-04-30,4775,4775,4771,4773
"Cundinamarca",2015-08-09,2016-05-07,4844,4844,4840,4842
"Cundinamarca",2015-08-09,2016-05-14,4910,4910,4906,4908
"Cundinamarca",2015-08-09,2016-05-21,4994,4994,4990,4992
"Cundinamarca",2015-08-09,2016-05-28,5020,5020,5016,5018
"Cundinamarca",2015-08-09,2016-06-04,5056,5056,5052,5054
"Cundinamarca",2015-08-09,2016-06-11,5090,5090,5086,5088
"Cundinamarca",2015-08-09,2016-06-18,5127,5127,5123,5125
"Cundinamarca",2015-08-09,2016-06-25,5156,5156,5152,5154
"Cundinamarca",2015-08-09,2016-07-02,5158,5158,5154,5156
"Cundinamarca",2015-08-09,2016-07-09,5175,5175,5171,5173
"Cundinamarca",2015-08-09,2016-07-16,5189,5189,5185,5187
"Cundinamarca",2015-08-09,2016-07-23,5201,5201,5197,5199
"Cundinamarca",2015-08-09,2016-07-30,5212,5212,5208,5210
"Cundinamarca",2015-08-09,2016-08-06,5220,5220,5216,5218
"Cundinamarca",2015-08-09,2016-08-13,5225,5225,5221,5223
"Cundinamarca",2015-08-09,2016-08-20,5227,5227,5223,5225
"Cundinamarca",2015-08-09,2016-08-27,5231,5231,5227,5229
"Cundinamarca",2015-08-09,2016-09-03,5235,5235,5231,5233
"Cundinamarca",2015-08-09,2016-09-10,5243,5243,5239,5241
"Cundinamarca",2015-08-09,2016-09-17,5248,5248,5244,5246
"Cundinamarca",2015-08-09,2016-09-24,5257,5257,5253,5255
"Cundinamarca",2015-08-09,2016-10-01,5262,5262,5258,5260
"Cundinamarca",2015-08-09,2016-10-08,5267,5267,5263,5265
"Cundinamarca",2015-08-09,2016-10-15,5270,5270,5266,5268
"Cundinamarca",2015-08-09,2016-10-22,5274,5270,5270,5270
"Cundinamarca",2015-08-09,2016-10-29,5270,5270,5270,5270
"Cundinamarca",2015-08-09,2016-11-05,5274,5274,5274,5274
"Cundinamarca",2015-08-09,2016-11-12,5276,5276,5276,5276
"Cundinamarca",2015-08-09,2016-11-19,5280,5280,5280,5280
"Cundinamarca",2015-08-09,2016-11-26,5281,5281,5281,5281
"Cundinamarca",2015-08-09,2016-12-03,5283,5283,5283,5283
"Cundinamarca",2015-08-09,2016-12-10,5286,5286,5286,5286
"Cundinamarca",2015-08-09,2016-12-17,5300,5300,5300,5300
"Cundinamarca",2015-08-09,2016-12-24,5302,5302,5302,5302
"Cundinamarca",2015-08-09,2016-12-31,5307,5307,5307,5307
"Cundinamarca",2015-08-09,2017-01-07,5307,5307,5307,5307
"Cundinamarca",2015-08-09,2017-01-14,5311,5311,5307,5309
"Cundinamarca",2015-08-09,2017-01-21,5316,5316,5308,5312
"Cundinamarca",2015-08-09,2017-01-28,5320,5320,5312,5316
"Cundinamarca",2015-08-09,2017-02-04,5323,5323,5315,5319
"Cundinamarca",2015-08-09,2017-02-11,5323,5323,5315,5319
"Cundinamarca",2015-08-09,2017-02-18,5325,5325,5317,5321
"Cundinamarca",2015-08-09,2017-02-25,5326,5326,5318,5322
"Cundinamarca",2015-08-09,2017-03-04,5328,5328,5320,5324
"Cundinamarca",2015-08-09,2017-03-11,5331,5331,5323,5327
"Cundinamarca",2015-08-09,2017-03-18,5333,5333,5325,5329
"Cundinamarca",2015-08-09,2017-03-25,5335,5335,5327,5331
"Cundinamarca",2015-08-09,2017-04-01,5336,5336,5328,5332
"Cundinamarca",2015-08-09,2017-04-08,5338,5338,5330,5334
"Cundinamarca",2015-08-09,2017-04-15,5339,5339,5331,5335
"Cundinamarca",2015-08-09,2017-04-22,5339,5339,5331,5335
"Cundinamarca",2015-08-09,2017-04-29,5343,5343,5335,5339
"Cundinamarca",2015-08-09,2017-05-06,5346,5346,5338,5342
"Cundinamarca",2015-08-09,2017-05-13,5347,5347,5339,5343
"Cundinamarca",2015-08-09,2017-05-20,5348,5348,5340,5344
"Cundinamarca",2015-08-09,2017-05-27,5348,5348,5340,5344
"Cundinamarca",2015-08-09,2017-06-03,5351,5349,5343,5346
"Cundinamarca",2015-08-09,2017-06-10,5351,5349,5343,5346
"Cundinamarca",2015-08-09,2017-06-17,5351,5349,5343,5346
"Cundinamarca",2015-08-09,2017-06-24,5351,5349,5343,5346
"Cundinamarca",2015-08-09,2017-07-01,5349,5349,5343,5346
"Cundinamarca",2015-08-09,2017-07-08,5351,5351,5345,5348
"Cundinamarca",2015-08-09,2017-07-15,5351,5351,5345,5348
"Cundinamarca",2015-08-09,2017-07-22,5353,5351,5347,5349
"Cundinamarca",2015-08-09,2017-07-29,5353,5351,5347,5349
"Cundinamarca",2015-08-09,2017-08-05,5351,5351,5347,5349
"Cundinamarca",2015-08-09,2017-08-12,5354,5354,5350,5352
"Cundinamarca",2015-08-09,2017-08-19,5355,5355,5351,5353
"Cundinamarca",2015-08-09,2017-08-26,5355,5355,5351,5353
"Cundinamarca",2015-08-09,2017-09-02,5357,5356,5353,5354.5
"Cundinamarca",2015-08-09,2017-09-09,5356,5356,5353,5354.5
"Cundinamarca",2015-08-09,2017-09-16,5359,5358,5356,5357
"Cundinamarca",2015-08-09,2017-09-23,5360,5358,5357,5357.5
