"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Putumayo",2015-08-09,2015-11-14,20,20,14,17
"Putumayo",2015-08-09,2015-11-21,21,21,15,18
"Putumayo",2015-08-09,2015-12-05,24,24,18,21
"Putumayo",2015-08-09,2015-12-12,39,34,33,33.5
"Putumayo",2015-08-09,2015-12-19,34,34,33,33.5
"Putumayo",2015-08-09,2015-12-26,35,35,34,34.5
"Putumayo",2015-08-09,2016-01-02,37,37,36,36.5
"Putumayo",2015-08-09,2016-01-09,39,39,38,38.5
"Putumayo",2015-08-09,2016-01-16,46,46,45,45.5
"Putumayo",2015-08-09,2016-01-23,57,57,56,56.5
"Putumayo",2015-08-09,2016-01-30,70,70,69,69.5
"Putumayo",2015-08-09,2016-02-06,107,107,106,106.5
"Putumayo",2015-08-09,2016-02-13,161,161,160,160.5
"Putumayo",2015-08-09,2016-02-20,180,180,179,179.5
"Putumayo",2015-08-09,2016-02-27,233,233,232,232.5
"Putumayo",2015-08-09,2016-03-05,252,252,251,251.5
"Putumayo",2015-08-09,2016-03-12,264,264,263,263.5
"Putumayo",2015-08-09,2016-03-19,277,277,276,276.5
"Putumayo",2015-08-09,2016-03-26,299,299,298,298.5
"Putumayo",2015-08-09,2016-04-02,318,318,317,317.5
"Putumayo",2015-08-09,2016-04-09,342,342,341,341.5
"Putumayo",2015-08-09,2016-04-16,371,371,370,370.5
"Putumayo",2015-08-09,2016-04-23,390,390,389,389.5
"Putumayo",2015-08-09,2016-04-30,409,409,408,408.5
"Putumayo",2015-08-09,2016-05-07,431,431,430,430.5
"Putumayo",2015-08-09,2016-05-14,456,456,455,455.5
"Putumayo",2015-08-09,2016-05-21,469,469,468,468.5
"Putumayo",2015-08-09,2016-05-28,471,471,470,470.5
"Putumayo",2015-08-09,2016-06-04,479,479,478,478.5
"Putumayo",2015-08-09,2016-06-11,482,482,481,481.5
"Putumayo",2015-08-09,2016-06-18,489,489,488,488.5
"Putumayo",2015-08-09,2016-06-25,495,495,494,494.5
"Putumayo",2015-08-09,2016-07-02,499,499,498,498.5
"Putumayo",2015-08-09,2016-07-09,505,505,504,504.5
"Putumayo",2015-08-09,2016-07-16,509,509,508,508.5
"Putumayo",2015-08-09,2016-07-23,510,510,509,509.5
"Putumayo",2015-08-09,2016-07-30,510,510,509,509.5
"Putumayo",2015-08-09,2016-08-06,513,513,512,512.5
"Putumayo",2015-08-09,2016-08-13,514,514,513,513.5
"Putumayo",2015-08-09,2016-08-20,516,516,515,515.5
"Putumayo",2015-08-09,2016-08-27,518,518,517,517.5
"Putumayo",2015-08-09,2016-09-03,519,519,518,518.5
"Putumayo",2015-08-09,2016-09-10,525,525,524,524.5
"Putumayo",2015-08-09,2016-09-17,527,526,526,526
"Putumayo",2015-08-09,2016-09-24,526,526,526,526
"Putumayo",2015-08-09,2016-10-01,527,527,527,527
"Putumayo",2015-08-09,2016-10-08,527,527,527,527
"Putumayo",2015-08-09,2016-10-15,528,528,528,528
"Putumayo",2015-08-09,2016-10-22,528,528,528,528
"Putumayo",2015-08-09,2016-10-29,528,528,528,528
"Putumayo",2015-08-09,2016-11-05,528,528,528,528
"Putumayo",2015-08-09,2016-11-12,528,528,528,528
"Putumayo",2015-08-09,2016-11-19,529,529,529,529
"Putumayo",2015-08-09,2016-11-26,530,530,530,530
"Putumayo",2015-08-09,2016-12-03,531,531,531,531
"Putumayo",2015-08-09,2016-12-10,531,531,531,531
"Putumayo",2015-08-09,2016-12-17,536,536,536,536
"Putumayo",2015-08-09,2016-12-24,536,536,536,536
"Putumayo",2015-08-09,2016-12-31,537,537,537,537
"Putumayo",2015-08-09,2017-01-07,537,537,537,537
"Putumayo",2015-08-09,2017-01-14,537,537,537,537
"Putumayo",2015-08-09,2017-02-18,538,538,537,537.5
"Putumayo",2015-08-09,2017-02-25,538,538,537,537.5
"Putumayo",2015-08-09,2017-03-04,538,538,537,537.5
"Putumayo",2015-08-09,2017-03-11,539,539,537,538
"Putumayo",2015-08-09,2017-03-18,539,539,537,538
"Putumayo",2015-08-09,2017-03-25,539,539,537,538
"Putumayo",2015-08-09,2017-04-01,539,539,537,538
"Putumayo",2015-08-09,2017-04-08,539,539,537,538
"Putumayo",2015-08-09,2017-04-15,540,540,538,539
"Putumayo",2015-08-09,2017-04-22,541,541,539,540
"Putumayo",2015-08-09,2017-04-29,541,541,539,540
"Putumayo",2015-08-09,2017-05-06,541,541,539,540
"Putumayo",2015-08-09,2017-05-13,541,541,539,540
"Putumayo",2015-08-09,2017-05-20,542,542,540,541
"Putumayo",2015-08-09,2017-05-27,542,542,540,541
"Putumayo",2015-08-09,2017-06-03,542,542,540,541
"Putumayo",2015-08-09,2017-06-10,545,545,543,544
"Putumayo",2015-08-09,2017-06-17,547,547,545,546
"Putumayo",2015-08-09,2017-06-24,550,550,548,549
"Putumayo",2015-08-09,2017-07-01,552,552,550,551
"Putumayo",2015-08-09,2017-07-08,554,554,552,553
"Putumayo",2015-08-09,2017-07-15,556,556,554,555
"Putumayo",2015-08-09,2017-07-22,556,556,554,555
"Putumayo",2015-08-09,2017-07-29,556,556,554,555
"Putumayo",2015-08-09,2017-08-05,556,556,554,555
"Putumayo",2015-08-09,2017-08-12,557,557,555,556
"Putumayo",2015-08-09,2017-08-19,557,557,555,556
"Putumayo",2015-08-09,2017-08-26,558,558,556,557
"Putumayo",2015-08-09,2017-09-02,558,558,556,557
"Putumayo",2015-08-09,2017-09-09,558,558,556,557
"Putumayo",2015-08-09,2017-09-16,558,558,556,557
"Putumayo",2015-08-09,2017-09-23,559,559,557,558
"Putumayo",2015-08-09,2017-09-30,559,559,557,558
"Putumayo",2015-08-09,2017-10-07,559,559,557,558
"Putumayo",2015-08-09,2017-10-14,559,559,557,558
"Putumayo",2015-08-09,2017-10-21,559,559,557,558
"Putumayo",2015-08-09,2017-10-28,559,559,557,558
"Putumayo",2015-08-09,2017-11-04,561,561,559,560
"Putumayo",2015-08-09,2017-11-11,563,563,561,562
"Putumayo",2015-08-09,2017-11-18,565,565,563,564
"Putumayo",2015-08-09,2017-11-25,565,565,563,564
"Putumayo",2015-08-09,2017-12-02,565,565,563,564
"Putumayo",2015-08-09,2017-12-09,567,567,565,566
"Putumayo",2015-08-09,2017-12-16,568,568,566,567
"Putumayo",2015-08-09,2017-12-23,572,570,570,570
"Putumayo",2015-08-09,2017-12-30,570,570,570,570
