"location","dateStart","dateEnd","tsCount","tsCountUpper","tsCountLower","tsCountMid"
"Risaralda",2015-08-09,2015-11-14,28,28,0,14
"Risaralda",2015-08-09,2015-11-21,30,30,0,15
"Risaralda",2015-08-09,2015-12-05,39,39,0,19.5
"Risaralda",2015-08-09,2015-12-12,46,45,0,22.5
"Risaralda",2015-08-09,2015-12-19,45,45,0,22.5
"Risaralda",2015-08-09,2015-12-26,50,50,0,25
"Risaralda",2015-08-09,2016-01-02,55,55,0,27.5
"Risaralda",2015-08-09,2016-01-09,68,68,0,34
"Risaralda",2015-08-09,2016-01-16,87,87,11,49
"Risaralda",2015-08-09,2016-01-23,108,108,32,70
"Risaralda",2015-08-09,2016-01-30,159,159,83,121
"Risaralda",2015-08-09,2016-02-06,241,241,165,203
"Risaralda",2015-08-09,2016-02-13,299,299,223,261
"Risaralda",2015-08-09,2016-02-20,366,366,290,328
"Risaralda",2015-08-09,2016-02-27,411,411,335,373
"Risaralda",2015-08-09,2016-03-05,454,454,378,416
"Risaralda",2015-08-09,2016-03-12,494,494,418,456
"Risaralda",2015-08-09,2016-03-19,559,559,483,521
"Risaralda",2015-08-09,2016-03-26,609,609,533,571
"Risaralda",2015-08-09,2016-04-02,687,687,611,649
"Risaralda",2015-08-09,2016-04-09,760,760,684,722
"Risaralda",2015-08-09,2016-04-16,802,802,726,764
"Risaralda",2015-08-09,2016-04-23,842,842,766,804
"Risaralda",2015-08-09,2016-04-30,899,899,823,861
"Risaralda",2015-08-09,2016-05-07,938,938,862,900
"Risaralda",2015-08-09,2016-05-14,1015,1015,939,977
"Risaralda",2015-08-09,2016-05-21,1074,1074,998,1036
"Risaralda",2015-08-09,2016-05-28,1108,1108,1032,1070
"Risaralda",2015-08-09,2016-06-04,1145,1145,1069,1107
"Risaralda",2015-08-09,2016-06-11,1176,1176,1100,1138
"Risaralda",2015-08-09,2016-06-18,1207,1207,1131,1169
"Risaralda",2015-08-09,2016-06-25,1233,1233,1157,1195
"Risaralda",2015-08-09,2016-07-02,1243,1243,1167,1205
"Risaralda",2015-08-09,2016-07-09,1265,1254,1189,1221.5
"Risaralda",2015-08-09,2016-07-16,1275,1254,1199,1226.5
"Risaralda",2015-08-09,2016-07-23,1282,1254,1206,1230
"Risaralda",2015-08-09,2016-07-30,1296,1254,1220,1237
