"year","location","biweekEndDate","meanIncidence","varIncidence","biweek","population"
2016,"Acre",2016-02-10,0.981,0.969608608608609,3,"816687"
2016,"Acre",2016-02-24,3.168,3.40117717717718,4,"816687"
2016,"Acre",2016-03-09,5.175,4.95733233233233,5,"816687"
2016,"Acre",2016-03-23,2.68,2.88048048048048,6,"816687"
2016,"Acre",2016-04-06,3.332,3.35913513513514,7,"816687"
2016,"Acre",2016-04-20,3.47,3.31241241241241,8,"816687"
2016,"Acre",2016-05-04,2.097,2.1097007007007,9,"816687"
2016,"Acre",2016-05-18,4.394,4.20897297297297,10,"816687"
2016,"Acre",2016-06-01,7.563,6.92895995995996,11,"816687"
2016,"Acre",2016-06-15,5.779,4.94710610610611,12,"816687"
2016,"Acre",2016-06-29,0,0,13,"816687"
2016,"Acre",2016-07-13,0,0,14,"816687"
2016,"Acre",2016-07-27,0,0,15,"816687"
2016,"Acre",2016-08-10,18.523,16.2637347347347,16,"816687"
2016,"Acre",2016-08-24,21.28,17.7233233233233,17,"816687"
2016,"Acre",2016-09-07,0,0,18,"816687"
2016,"Acre",2016-09-21,0.018,0.0176936936936937,19,"816687"
2016,"Acre",2016-10-05,0.988,0.930786786786787,20,"816687"
2016,"Acre",2016-10-19,0.027,0.0262972972972973,21,"816687"
2016,"Acre",2016-11-02,1.248,1.11561161161161,22,"816687"
2016,"Acre",2016-11-16,1.995,2.05903403403403,23,"816687"
2016,"Acre",2016-11-30,0.251,0.242241241241241,24,"816687"
2016,"Acre",2016-12-14,0.01,0.00990990990990991,25,"816687"
2016,"Acre",2016-12-28,0,0,26,"816687"
2017,"Acre",2017-01-11,2.564,2.61451851851852,1,"829619"
2017,"Acre",2017-01-25,3.835,3.89767267267267,2,"829619"
2017,"Acre",2017-02-08,0,0,3,"829619"
2017,"Acre",2017-02-22,4.406,4.11127527527528,4,"829619"
2017,"Acre",2017-03-08,0.248,0.244740740740741,5,"829619"
2017,"Acre",2017-03-22,1.438,1.40556156156156,6,"829619"
2017,"Acre",2017-04-05,1.779,1.846005005005,7,"829619"
2017,"Acre",2017-04-19,1.843,1.74009109109109,8,"829619"
2017,"Acre",2017-05-03,0.841,0.828547547547548,9,"829619"
2017,"Acre",2017-05-17,0.92,0.916516516516517,10,"829619"
2017,"Acre",2017-05-31,0.042,0.0422782782782783,11,"829619"
2017,"Acre",2017-06-14,1.067,1.05356456456456,12,"829619"
2017,"Acre",2017-06-28,0.752,0.755251251251251,13,"829619"
2017,"Acre",2017-07-12,0.258,0.255691691691692,14,"829619"
2017,"Acre",2017-07-26,0.012,0.0118678678678679,15,"829619"
2017,"Acre",2017-08-09,0.035,0.0358108108108108,16,"829619"
